Policy 1,Policy 2,P1 => P2,Solve Time (ms),lg(tuple),Count Time (ms),lg(principal),lg(action),lg(resource),P2 => P1,Solve Time (ms),lg(tuple),Count Time (ms),lg(principal),lg(action),lg(resource)
/samples/s3/exp_single/s3_allow_all_except_delete/initial.json,/samples/mutations/s3/exp_single/s3_allow_all_except_delete/initial/3_2.json,SAT,2084.91,2096709842657258832096126657031383880925196924287022026920584796828711014342223063651614343436292003574743708443747429830279735625632094668314642150607635196806982846672915877795438507466240,50.5224,1,30,69890328088575294403204221901046129364173230809567400897352826560957033811407435455053811447876400119158123614791580994342657854187736488943821405020254506560232761555763862593181283582208,UNSAT,87.8087,,,,,
/samples/s3/exp_single/s3_allow_all_except_delete/initial.json,/samples/mutations/s3/exp_single/s3_allow_all_except_delete/initial/1_3.json,UNSAT,1832.2,,,,,,UNSAT,1335.05,,,,,
/samples/s3/exp_single/s3_allow_all_except_delete/initial.json,/samples/mutations/s3/exp_single/s3_allow_all_except_delete/initial/0_2.json,SAT,1948.1,2096709842657258832096126657031383880925196924287022026920584796828711014342223063651614343436292003574743708443747429830279735625632094668314642150607635196806982846672915877795438507466240,50.358,1,30,69890328088575294403204221901046129364173230809567400897352826560957033811407435455053811447876400119158123614791580994342657854187736488943821405020254506560232761555763862593181283582208,UNSAT,198.918,,,,,
/samples/s3/exp_single/s3_allow_all_except_delete/initial.json,/samples/mutations/s3/exp_single/s3_allow_all_except_delete/initial/2_2.json,SAT,2108.66,2096709842657258832096126657031383880925196924287022026920584796828711014342223063651614343436292003574743708443747429830279735625632094668314642150607635196806982846672915877795438507466240,49.963,1,30,69890328088575294403204221901046129364173230809567400897352826560957033811407435455053811447876400119158123614791580994342657854187736488943821405020254506560232761555763862593181283582208,UNSAT,87.7099,,,,,
/samples/s3/exp_single/s3_allow_all_except_delete/initial.json,/samples/mutations/s3/exp_single/s3_allow_all_except_delete/initial/2_1.json,SAT,1127.76,2026819514568683537692922435130337751561023693477454626023231970267753980530815628196560531988415603455585584828955848835937077771444358179370820745587380690246750085117152015202257223884032,51.1395,1,29,69890328088575294403204221901046129364173230809567400897352826560957033811407435455053811447876400119158123614791580994342657854187736488943821405020254506560232761555763862593181283582208,SAT,2306.33,4442553804447357074981032305560375657649769845705810957386718235499918394527755712399888793513815523161268811764060425356275841324879900971094977432538648817208083609209511325840126082523755285200452029726,113.833,1,46,4442553804447357074981032305560375657649769845705810957386718235499487869463480128619384535491932272472099092733603939009611612324410364245628547674456916309444518302975941392465845271851026287197058879057
/samples/s3/exp_single/s3_allow_all_except_delete/initial.json,/samples/mutations/s3/exp_single/s3_allow_all_except_delete/initial/2_0.json,UNSAT,1184.96,,,,,,SAT,8568.24,133276614133420712249430969166811269729493095371174328721601547064987865021886470736935317999922092554331745674736541817888330087235832452809854653419320483091562288886030016274282464235576256100937215001447,1019.82,1,91,4442553804447357074981032305560375657649769845705810957386718235499487869463480128619384535491932272472099092733603939009611612324410364245628547674456916309444518302975941392465845271851026287197058879057
/samples/s3/exp_single/s3_allow_all_except_delete/initial.json,/samples/mutations/s3/exp_single/s3_allow_all_except_delete/initial/3_0.json,UNSAT,1313.21,,,,,,SAT,8458.36,133276614133420712249430969166811269729493095371174328721601547064987865021886470736935317999922092554331745674736541817888330087235832452809854653419320483091562288886030016274282464235576256100937215001447,1007.52,1,91,4442553804447357074981032305560375657649769845705810957386718235499487869463480128619384535491932272472099092733603939009611612324410364245628547674456916309444518302975941392465845271851026287197058879057
/samples/s3/exp_single/s3_allow_all_except_delete/initial.json,/samples/mutations/s3/exp_single/s3_allow_all_except_delete/initial/2_3.json,UNSAT,1837.48,,,,,,SAT,8676.56,133276614133420712249430969166811269729493095371174328721601547064987865021886470736935317999922092554331745674736541817888330087235832452809854653419320483091562288886030016274282464235576256100937215001450,984.563,1,91,4442553804447357074981032305560375657649769845705810957386718235499487869463480128619384535491932272472099092733603939009611612324410364245628547674456916309444518302975941392465845271851026287197058879057
/samples/s3/exp_single/s3_allow_all_except_delete/initial.json,/samples/mutations/s3/exp_single/s3_allow_all_except_delete/initial/1_1.json,SAT,1160.22,2026819514568683537692922435130337751561023693477454626023231970267753980530815628196560531988415603455585584828955848835937077771444358179370820745587380690246750085117152015202257223884032,51.0086,1,29,69890328088575294403204221901046129364173230809567400897352826560957033811407435455053811447876400119158123614791580994342657854187736488943821405020254506560232761555763862593181283582208,UNSAT,981.115,,,,,
/samples/s3/exp_single/s3_allow_all_except_delete/initial.json,/samples/mutations/s3/exp_single/s3_allow_all_except_delete/initial/3_3.json,UNSAT,1828.9,,,,,,SAT,8471.27,133276614133420712249430969166811269729493095371174328721601547064987865021886470736935317999922092554331745674736541817888330087235832452809854653419320483091562288886030016274282464235576256100937215001450,981.753,1,91,4442553804447357074981032305560375657649769845705810957386718235499487869463480128619384535491932272472099092733603939009611612324410364245628547674456916309444518302975941392465845271851026287197058879057
