Policy 1,Policy 2,P1 => P2,Solve Time (ms),lg(tuple),Count Time (ms),lg(principal),lg(action),lg(resource),P2 => P1,Solve Time (ms),lg(tuple),Count Time (ms),lg(principal),lg(action),lg(resource)
Policy 1,Policy 2,UNSAT,6841.63,,,,,,UNSAT,6884.65,,,,,
/samples/ec2/exp_single/ec2_prevent_running_classic/policy.json,/samples/mutations/ec2/exp_single/ec2_prevent_running_classic/policy/3_2.json,SAT,1040.43,6143805642525053378624404131780813027469429295393636982922388814301431512085140042562500424079069430593359373815367631913820588723250879752293451120153422244397568634958468221794619305770503467307939259604272354142324728354371087726701149687134319235327946625006472323212778490886052139876495147940656817871894083051580286242889643005365193729315088881081043372964093637935758347165516996114794620222046976,176.153,1,1,47822362416073270606126766557141963672731489299767668882486509025875796519786941887372478937864520512885692829483620720993573590274045903876,SAT,1309.47,2298670593534260618844094624539948165686539910143920262300716629806530118407399552398412190324433139091845675961222386907629059101991736624040570205405766560136056442558389989423059966032338223022151094846689458903201433432532174598909860209210236696590507472981823264084463695067818413374061309951969734952324678272567005651397535592885171921266268173321592110214298792261744086294915908722217378939998819158124405262030185471332543497296923942719636372476,66.6123,1,1,273009094095997243762516265976577615172264498709621437408843364306654524937728935979884538612127904526040030544172468401364431806718789535294077293876505745432970894843947736737192344572
/samples/ec2/exp_single/ec2_prevent_running_classic/policy.json,/samples/mutations/ec2/exp_single/ec2_prevent_running_classic/policy/1_3.json,SAT,880.605,402652734199806948328286178309245810021292302137313860752728998106616954200414792971064387138828101523684528242519321587244355854760214520353252739429708585212465728633469606580366859779173181933272231692181379602042779410060468127342075313169095896641896810007639279901508613497115392083517625507953292505125983804358476143884243923564711081220920372164118058089585063314180660837198132539867127019322705182720,12.2605,1,1,47822362416073270606126766557141963672731489299767668882486509025875796519786941887372478937864520512885692829483620720993573590274045903876,SAT,691.532,2298670593534260618844094624539948165686539910143920262300716629806530118407399552398412190324433139091845675961222386907629059101991736624040570205405766560136056442558389989423059966032338223022151094846689458903201433432532174598909860209210236696590507472981823264084463695067818413374061309951966289093107044084256696487937828497402361243911083243108908269897806575328441005204470966796462889595857125835443767284197164537926811163323338342966088433664,8.75719,1,1,273009094095997243762516265973131755954630310399312273949136268823843847582544005767200698295635687592736949453727526475609942462577096212613439316043484812027238560870362136983644405760
/samples/ec2/exp_single/ec2_prevent_running_classic/policy.json,/samples/mutations/ec2/exp_single/ec2_prevent_running_classic/policy/0_2.json,SAT,958.656,402652734199806948328286178309245810021292302137313860752728998106616954200414792971064387138828101523684528242519321587244355854760214520353252739429708585212465728633469606580366859779173181933272231692181379602042779410060468127342075313169095896641896810007639279901508613497115392083517625507953292505125983804358476143884243923564711081220920372164118058089585063314180660837198132539867127019322705182720,12.301,1,1,47822362416073270606126766557141963672731489299767668882486509025875796519786941887372478937864520512885692829483620720993573590274045903876,SAT,693.236,2298670593534260618844094624539948165686539910143920262300716629806530118407399552398412190324433139091845675961222386907629059101991736624040570205405766560136056442558389989423059966032338223022151094846689458903201433432532174598909860209210236696590507472981823264084463695067818413374061309951966289093107044084256696487937828497402361243911083243108908269897806575328441005204470966796462889595857125835443767284197164537926811163323338342966088433664,8.7846,1,1,273009094095997243762516265973131755954630310399312273949136268823843847582544005767200698295635687592736949453727526475609942462577096212613439316043484812027238560870362136983644405760
/samples/ec2/exp_single/ec2_prevent_running_classic/policy.json,/samples/mutations/ec2/exp_single/ec2_prevent_running_classic/policy/2_2.json,SAT,905.318,402652734199806948328286178309245810021292302137313860752728998106616954200414792971064387138828101523684528242519321587244355854760214520353252739429708585212465728633469606580366859779173181933272231692181379602042779410060468127342075313169095896641896810007639279901508613497115392083517625507953292505125983804358476143884243923564711081220920372164118058089585063314180660837198132539867127019322705182720,12.2475,1,1,47822362416073270606126766557141963672731489299767668882486509025875796519786941887372478937864520512885692829483620720993573590274045903876,SAT,1593.55,2298670593534260618844094624539948165686539910143920262300716629806530118407719673342500291795636198083377884613736592031184951683763210959279708097940290666310975594044831625879771642688099292420002117331062016603064395385364100284990502735622172115697832867869644692371083523422975580124664292684888169492187032362590165243995719884319612504363580884200518208455920137251884841301989236835075844080553122479555365136052976630311521546998462608731179057664,155.807,1,1,273009094095997243762516265973131755954630310447133176987065071390492554043994219417327666149823195819685916341966309118940759124809847217821583857879810930194728386489714556678715867650
/samples/ec2/exp_single/ec2_prevent_running_classic/policy.json,/samples/mutations/ec2/exp_single/ec2_prevent_running_classic/policy/4_1.json,UNSAT,1254.48,,,,,,SAT,2081.74,320120944088101471203058991532208652514205123555892581771474335239137892534524106174919151486441636456711676655761069397851022484372557699862961952831925686080642526411935419107325394887821428286619828355157166750602982732921880399079988278333468756057891386917251260452497641091609938558113561923443836097518270038612954484695996644111597851855812092384710383675124265765090624000,127.633,1,1,47820903037928802566648706461450213650126967854187508226948966888238782643330816662232751005208144541836326118167489825619352419695071461890
/samples/ec2/exp_single/ec2_prevent_running_classic/policy.json,/samples/mutations/ec2/exp_single/ec2_prevent_running_classic/policy/5_2.json,SAT,1024,6143805642525053378624404131780813027469429295393636982922388814301431512085140042562500424079069430593359373815367631913820588723250879752293451120153422244397568634958468221794619305770503467307939259604272354142324728354371087726701149687134319235327946625006472323212778490886052139876495147940656817871894083051580286242889643005365193729315088881081043372964093637935758347165516996114794620222046976,175.657,1,1,47822362416073270606126766557141963672731489299767668882486509025875796519786941887372478937864520512885692829483620720993573590274045903876,SAT,1326.48,2298670593534260618844094624539948165686539910143920262300716629806530118407399552398412190324433139091845675961222386907629059101991736624040570205405766560136056442558389989423059966032338223022151094846689458903201433432532174598909860209210236696590507472981823264084463695067818413374061309951969734952324678272567005651397535592885171921266268173321592110214298792261744086294915908722217378939998819158124405262030185471332543497296923942719636372476,67.0067,1,1,273009094095997243762516265976577615172264498709621437408843364306654524937728935979884538612127904526040030544172468401364431806718789535294077293876505745432970894843947736737192344572
/samples/ec2/exp_single/ec2_prevent_running_classic/policy.json,/samples/mutations/ec2/exp_single/ec2_prevent_running_classic/policy/4_0.json,UNSAT,1164.54,,,,,,SAT,2157.34,320120944088101471203058991532208652514205123555892581771474335239137892534524106174919151486441636456711676655761069397851022484372557699862961952831925686080642526411935419107325394887821428286619828355157166750602982732921880399079988278333468756057891386917251260452497641091609938558113561923443836097518270038612954484695996644111597851855812092384710383675124265765090624000,126.392,1,1,47820903037928802566648706461450213650126967854187508226948966888238782643330816662232751005208144541836326118167489825619352419695071461890
/samples/ec2/exp_single/ec2_prevent_running_classic/policy.json,/samples/mutations/ec2/exp_single/ec2_prevent_running_classic/policy/4_2.json,SAT,821.394,402652734199806948328286178309245810021292302137313860752728998106616954200414792971064387138828101523684528242519321587244355854760214520353252739429708585212465728633469606580366859779173181933272231692181379602042779410060468127342075313169095896641896810007639279901508613497115392083517625507953292505125983804358476143884243923564711081220920372164118058089585063314180660837198132539867127019322705182720,12.221,1,1,47822362416073270606126766557141963672731489299767668882486509025875796519786941887372478937864520512885692829483620720993573590274045903876,SAT,1696.98,2298670593534260618844094624539948165686539910143920262300716629806530118407719673342500291795636198083377884613736592031184951683763210959279708097940290666310975594044831625879771642688099292420002117331062016603064395385364100284990502735622172115697832867869644692371083523422975580124664292684888169492187032362590165243995719884319612504363580884200518208455920137251884841301989236835075844080553122479555365136052976630311521546998462608731179057664,153.557,1,1,273009094095997243762516265973131755954630310447133176987065071390492554043994219417327666149823195819685916341966309118940759124809847217821583857879810930194728386489714556678715867650
/samples/ec2/exp_single/ec2_prevent_running_classic/policy.json,/samples/mutations/ec2/exp_single/ec2_prevent_running_classic/policy/2_1.json,UNSAT,1200.71,,,,,,SAT,2086.54,320120944088101471203058991532208652514205123555892581771474335239137892534524106174919151486441636456711676655761069397851022484372557699862961952831925686080642526411935419107325394887821428286619828355157166750602982732921880399079988278333468756057891386917251260452497641091609938558113561923443836097518270038612954484695996644111597851855812092384710383675124265765090624000,127.754,1,1,47820903037928802566648706461450213650126967854187508226948966888238782643330816662232751005208144541836326118167489825619352419695071461890
