Policy 1,Policy 2,P1 => P2,Solve Time (ms),lg(tuple),Count Time (ms),lg(principal),lg(action),lg(resource),P2 => P1,Solve Time (ms),lg(tuple),Count Time (ms),lg(principal),lg(action),lg(resource)
/samples/iam/exp_single/iam_role_policy_modify_iam_but_not_own_policies/policy.json,/samples/mutations/iam/exp_single/iam_role_policy_modify_iam_but_not_own_policies/policy/3_.json,SAT,261.722,626.3275746580285,18.7455,0.0,2.321928094887362,624.0056465631411,SAT,76.531,1568.0112931262822,427.117,0.0,768.0056465631412,800.0056465631411
/samples/iam/exp_single/iam_role_policy_modify_iam_but_not_own_policies/policy.json,/samples/mutations/iam/exp_single/iam_role_policy_modify_iam_but_not_own_policies/policy/0_.json,UNSAT,100.001,,,,,,UNSAT,98.468,,,,,
/samples/iam/exp_single/iam_role_policy_modify_iam_but_not_own_policies/policy.json,/samples/mutations/iam/exp_single/iam_role_policy_modify_iam_but_not_own_policies/policy/2_.json,SAT,301.081,626.3275746580285,17.7418,0.0,2.321928094887362,624.0056465631411,SAT,73.0187,1568.0112931262822,420.19,0.0,768.0056465631412,800.0056465631411
/samples/iam/exp_single/iam_role_policy_modify_iam_but_not_own_policies/policy.json,/samples/mutations/iam/exp_single/iam_role_policy_modify_iam_but_not_own_policies/policy/1_.json,UNSAT,114.433,,,,,,UNSAT,103.561,,,,,
/samples/iam/exp_single/iam_specify_all_users_in_account_bucket_policy/policy2.json,/samples/mutations/iam/exp_single/iam_specify_all_users_in_account_bucket_policy/policy2/3_.json,UNSAT,282.384,,,,,,SAT,460.565,2896.0225862525645,9900.18,800.0056465631411,776.0056465631412,520.0056465631411
/samples/iam/exp_single/iam_specify_all_users_in_account_bucket_policy/policy2.json,/samples/mutations/iam/exp_single/iam_specify_all_users_in_account_bucket_policy/policy2/0_.json,UNSAT,582.196,,,,,,UNSAT,535.306,,,,,
/samples/iam/exp_single/iam_specify_all_users_in_account_bucket_policy/policy2.json,/samples/mutations/iam/exp_single/iam_specify_all_users_in_account_bucket_policy/policy2/2_.json,UNSAT,266.318,,,,,,SAT,454.928,2896.0225862525645,10012.5,800.0056465631411,776.0056465631412,520.0056465631411
/samples/iam/exp_single/iam_specify_all_users_in_account_bucket_policy/policy2.json,/samples/mutations/iam/exp_single/iam_specify_all_users_in_account_bucket_policy/policy2/1_.json,UNSAT,577.973,,,,,,UNSAT,546.06,,,,,
/samples/iam/exp_single/iam_specify_all_users_in_account_bucket_policy/policy1.json,/samples/mutations/iam/exp_single/iam_specify_all_users_in_account_bucket_policy/policy1/3_.json,UNSAT,36.7261,,,,,,SAT,41.3534,776.0056465631412,19.29,0.0,776.0056465631412,0.0
/samples/iam/exp_single/iam_specify_all_users_in_account_bucket_policy/policy1.json,/samples/mutations/iam/exp_single/iam_specify_all_users_in_account_bucket_policy/policy1/0_.json,UNSAT,20.3318,,,,,,UNSAT,20.1678,,,,,
/samples/iam/exp_single/iam_specify_all_users_in_account_bucket_policy/policy1.json,/samples/mutations/iam/exp_single/iam_specify_all_users_in_account_bucket_policy/policy1/2_.json,UNSAT,36.6,,,,,,SAT,41.2546,776.0056465631412,17.8724,0.0,776.0056465631412,0.0
/samples/iam/exp_single/iam_specify_all_users_in_account_bucket_policy/policy1.json,/samples/mutations/iam/exp_single/iam_specify_all_users_in_account_bucket_policy/policy1/1_.json,UNSAT,20.0421,,,,,,UNSAT,20.1851,,,,,
/samples/iam/exp_single/iam_policy_allow_adding_deleting_users/fixed.json,/samples/mutations/iam/exp_single/iam_policy_allow_adding_deleting_users/fixed/3_.json,UNSAT,123.497,,,,,,SAT,110.104,1462.2183418823565,30.1956,0.0,768.0056465631412,694.2126953192153
