Policy 1,Policy 2,P1 => P2,Solve Time (ms),lg(tuple),Count Time (ms),lg(principal),lg(action),lg(resource),P2 => P1,Solve Time (ms),lg(tuple),Count Time (ms),lg(principal),lg(action),lg(resource)
/samples/iam/exp_single/iam_role_policy_modify_iam_but_not_own_policies/policy.json,/samples/mutations/iam/exp_single/iam_role_policy_modify_iam_but_not_own_policies/policy/3_.json,SAT,599.734,626.3275746580285,18.7563,0.0,2.321928094887362,624.0056465631411,SAT,9022.75,807.0931094043915,913.041,0.0,7.08746284125034,800.0056465631411
/samples/iam/exp_single/iam_role_policy_modify_iam_but_not_own_policies/policy.json,/samples/mutations/iam/exp_single/iam_role_policy_modify_iam_but_not_own_policies/policy/0_.json,UNSAT,475.505,,,,,,UNSAT,464.597,,,,,
/samples/iam/exp_single/iam_role_policy_modify_iam_but_not_own_policies/policy.json,/samples/mutations/iam/exp_single/iam_role_policy_modify_iam_but_not_own_policies/policy/2_.json,SAT,471.86,626.3275746580285,17.558,0.0,2.321928094887362,624.0056465631411,SAT,8958.97,807.0931094043915,916.557,0.0,7.08746284125034,800.0056465631411
/samples/iam/exp_single/iam_role_policy_modify_iam_but_not_own_policies/policy.json,/samples/mutations/iam/exp_single/iam_role_policy_modify_iam_but_not_own_policies/policy/1_.json,UNSAT,477.921,,,,,,UNSAT,355.334,,,,,
/samples/iam/exp_single/iam_specify_all_users_in_account_bucket_policy/policy2.json,/samples/mutations/iam/exp_single/iam_specify_all_users_in_account_bucket_policy/policy2/3_.json,UNSAT,3092.42,,,,,,SAT,7004.25,2126.524734329622,3821.9,800.0056465631411,6.507794640198696,520.0056465631411
/samples/iam/exp_single/iam_specify_all_users_in_account_bucket_policy/policy2.json,/samples/mutations/iam/exp_single/iam_specify_all_users_in_account_bucket_policy/policy2/0_.json,UNSAT,7920.19,,,,,,UNSAT,7899.96,,,,,
/samples/iam/exp_single/iam_specify_all_users_in_account_bucket_policy/policy2.json,/samples/mutations/iam/exp_single/iam_specify_all_users_in_account_bucket_policy/policy2/2_.json,UNSAT,3045.05,,,,,,SAT,7058.86,2126.524734329622,3887.39,800.0056465631411,6.507794640198696,520.0056465631411
/samples/iam/exp_single/iam_specify_all_users_in_account_bucket_policy/policy2.json,/samples/mutations/iam/exp_single/iam_specify_all_users_in_account_bucket_policy/policy2/1_.json,UNSAT,7673.5,,,,,,UNSAT,7686.59,,,,,
/samples/iam/exp_single/iam_specify_all_users_in_account_bucket_policy/policy1.json,/samples/mutations/iam/exp_single/iam_specify_all_users_in_account_bucket_policy/policy1/3_.json,UNSAT,124.448,,,,,,SAT,1419.55,6.491853096329675,79.4918,0.0,6.491853096329675,0.0
/samples/iam/exp_single/iam_specify_all_users_in_account_bucket_policy/policy1.json,/samples/mutations/iam/exp_single/iam_specify_all_users_in_account_bucket_policy/policy1/0_.json,UNSAT,201.235,,,,,,UNSAT,116.251,,,,,
