Policy 1,Policy 2,P1 => P2,Solve Time (ms),lg(tuple),Count Time (ms),lg(principal),lg(action),lg(resource),P2 => P1,Solve Time (ms),lg(tuple),Count Time (ms),lg(principal),lg(action),lg(resource)
Policy 1,Policy 2,UNSAT,941.037,,,,,,UNSAT,889.705,,,,,
/samples/iam/exp_single/iam_role_policy_modify_iam_but_not_own_policies/policy.json,/samples/mutations/iam/exp_single/iam_role_policy_modify_iam_but_not_own_policies/policy/3_.json,SAT,223.088,349451640442876472016021109505230646820866154047837004486764132804785169057037177275269057239382000595790618073957904971713289270938682444719107025101272532801163807778819312965906417911040,18.2396,1,5,69890328088575294403204221901046129364173230809567400897352826560957033811407435455053811447876400119158123614791580994342657854187736488943821405020254506560232761555763862593181283582208,SAT,74.2258,10433566078169971393030365721322760738578244233770570996020755440216452961048024063731611676127979467785007605733720180291284203817907257990727442419760941706059248842538403317435434542641922244315796145986409113009659466956925167250939715746330666407612309665551555415404396892888155764368259481194106448573412044917290454768203113591329959220431225857442004686733780925569602684598023553825110364919324882591005343128757816042990256712998140407650638192963154984591949824,442.585,1,1558606398545025440777014702142747663316716942674016990006264006802623701520441109414528912392680385707156310033198253885411468593307421506704853107492323026024864603377794414983795737732114517157911089386633003922464975665007493372,6694163509087226251625262974214282337525718158874009691134934655783895921820538139383230021799780556825501287399796613765113377704151044791572940944763380809720935562754643802309000875767136116298653976336814891168465234422780442467884859392
/samples/iam/exp_single/iam_role_policy_modify_iam_but_not_own_policies/policy.json,/samples/mutations/iam/exp_single/iam_role_policy_modify_iam_but_not_own_policies/policy/0_.json,UNSAT,100.502,,,,,,UNSAT,100.677,,,,,
/samples/iam/exp_single/iam_role_policy_modify_iam_but_not_own_policies/policy.json,/samples/mutations/iam/exp_single/iam_role_policy_modify_iam_but_not_own_policies/policy/2_.json,SAT,222.375,349451640442876472016021109505230646820866154047837004486764132804785169057037177275269057239382000595790618073957904971713289270938682444719107025101272532801163807778819312965906417911040,18.2786,1,5,69890328088575294403204221901046129364173230809567400897352826560957033811407435455053811447876400119158123614791580994342657854187736488943821405020254506560232761555763862593181283582208,SAT,74.0695,10433566078169971393030365721322760738578244233770570996020755440216452961048024063731611676127979467785007605733720180291284203817907257990727442419760941706059248842538403317435434542641922244315796145986409113009659466956925167250939715746330666407612309665551555415404396892888155764368259481194106448573412044917290454768203113591329959220431225857442004686733780925569602684598023553825110364919324882591005343128757816042990256712998140407650638192963154984591949824,438.837,1,1558606398545025440777014702142747663316716942674016990006264006802623701520441109414528912392680385707156310033198253885411468593307421506704853107492323026024864603377794414983795737732114517157911089386633003922464975665007493372,6694163509087226251625262974214282337525718158874009691134934655783895921820538139383230021799780556825501287399796613765113377704151044791572940944763380809720935562754643802309000875767136116298653976336814891168465234422780442467884859392
/samples/iam/exp_single/iam_role_policy_modify_iam_but_not_own_policies/policy.json,/samples/mutations/iam/exp_single/iam_role_policy_modify_iam_but_not_own_policies/policy/1_.json,UNSAT,100.409,,,,,,UNSAT,100.687,,,,,
/samples/iam/exp_single/iam_specify_all_users_in_account_bucket_policy/policy2.json,/samples/mutations/iam/exp_single/iam_specify_all_users_in_account_bucket_policy/policy2/3_.json,UNSAT,276.047,,,,,,SAT,462.383,61612180973452471619211604265062868686813200472062624524788438702088085134993499537838148610102063103415094678310662339852949800780595444185117296353799918321692536131857480437599485177304336176319178311654930422348073396621900643281824122487138472635700935446469317713794562148465843741207558243983167554981440577457768652673785524540998088554938405543273164376959718001271810713829995200921764119290103870299674689338807289962907875292146911563503125633655092215287744426306554206871540595056818043291226208703616741952130900235643620684285750703456219712657284467284404256251572909564857975522620753672927010942563447556939364678172316711527020955693914215279008139617333664890269387655539052080882585173628721729076961318561951155831619315552024022762637765772290283048627657745127045422032479339794857808546319312046258211126057811917444699056073262192705048831852800,9982.33,6694163509087226251625262974214282337525718158874009761025262744359190325024760040429359385973011366392902184752623174722147189111586499845384388821163499967844550354335638144966855063503625060120058996591321451401226790186643035649168441601,399003238027526512838915763748543401809079537324548349441603585741471667589232924010119401572526178741032015368498752994665335959886699905716442395518034694662365338464715370235851708859421316392425238882978049004151033770241918304513,3445859217634188405951699224636934634550932229091541538833299305002939323430980292830147584332024247204289913169057058151967115544955805521605786750049911041
/samples/iam/exp_single/iam_specify_all_users_in_account_bucket_policy/policy2.json,/samples/mutations/iam/exp_single/iam_specify_all_users_in_account_bucket_policy/policy2/0_.json,UNSAT,536.047,,,,,,UNSAT,539.944,,,,,
/samples/iam/exp_single/iam_specify_all_users_in_account_bucket_policy/policy2.json,/samples/mutations/iam/exp_single/iam_specify_all_users_in_account_bucket_policy/policy2/2_.json,UNSAT,278.097,,,,,,SAT,459.742,61612180973452471619211604265062868686813200472062624524788438702088085134993499537838148610102063103415094678310662339852949800780595444185117296353799918321692536131857480437599485177304336176319178311654930422348073396621900643281824122487138472635700935446469317713794562148465843741207558243983167554981440577457768652673785524540998088554938405543273164376959718001271810713829995200921764119290103870299674689338807289962907875292146911563503125633655092215287744426306554206871540595056818043291226208703616741952130900235643620684285750703456219712657284467284404256251572909564857975522620753672927010942563447556939364678172316711527020955693914215279008139617333664890269387655539052080882585173628721729076961318561951155831619315552024022762637765772290283048627657745127045422032479339794857808546319312046258211126057811917444699056073262192705048831852800,9991.89,6694163509087226251625262974214282337525718158874009761025262744359190325024760040429359385973011366392902184752623174722147189111586499845384388821163499967844550354335638144966855063503625060120058996591321451401226790186643035649168441601,399003238027526512838915763748543401809079537324548349441603585741471667589232924010119401572526178741032015368498752994665335959886699905716442395518034694662365338464715370235851708859421316392425238882978049004151033770241918304513,3445859217634188405951699224636934634550932229091541538833299305002939323430980292830147584332024247204289913169057058151967115544955805521605786750049911041
/samples/iam/exp_single/iam_specify_all_users_in_account_bucket_policy/policy2.json,/samples/mutations/iam/exp_single/iam_specify_all_users_in_account_bucket_policy/policy2/1_.json,UNSAT,547.233,,,,,,UNSAT,548.632,,,,,
/samples/iam/exp_single/iam_specify_all_users_in_account_bucket_policy/policy1.json,/samples/mutations/iam/exp_single/iam_specify_all_users_in_account_bucket_policy/policy1/3_.json,UNSAT,88.0605,,,,,,SAT,67.7582,399003238027526512838915763748543401809079537324548349441603585741471667589232924010119401572526178741032015368498752994665335959886699905716442395518034694662365338464715370235851708859421316392425238882978049004151033770241918304512,24.3045,1,399003238027526512838915763748543401809079537324548349441603585741471667589232924010119401572526178741032015368498752994665335959886699905716442395518034694662365338464715370235851708859421316392425238882978049004151033770241918304512,1
