Policy 1,Policy 2,P1 => P2,Solve Time (ms),lg(tuple),Count Time (ms),lg(principal),lg(action),lg(resource),P2 => P1,Solve Time (ms),lg(tuple),Count Time (ms),lg(principal),lg(action),lg(resource)
/samples/s3/exp_single/s3_allow_all_except_delete/initial.json,/samples/mutations/s3/exp_single/s3_allow_all_except_delete/initial/3_2.json,SAT,4524.86,630.5134412033399,127.381,0.0,6.507794640198696,624.0056465631411,UNSAT,2428.4,,,,,
/samples/s3/exp_single/s3_allow_all_except_delete/initial.json,/samples/mutations/s3/exp_single/s3_allow_all_except_delete/initial/1_3.json,UNSAT,3672.54,,,,,,UNSAT,2195.35,,,,,
/samples/s3/exp_single/s3_allow_all_except_delete/initial.json,/samples/mutations/s3/exp_single/s3_allow_all_except_delete/initial/0_2.json,SAT,4368.28,630.5134412033399,119.291,0.0,6.507794640198696,624.0056465631411,UNSAT,2108.22,,,,,
/samples/s3/exp_single/s3_allow_all_except_delete/initial.json,/samples/mutations/s3/exp_single/s3_allow_all_except_delete/initial/2_2.json,SAT,4345.32,630.5134412033399,121.189,0.0,6.507794640198696,624.0056465631411,UNSAT,2297.61,,,,,
/samples/s3/exp_single/s3_allow_all_except_delete/initial.json,/samples/mutations/s3/exp_single/s3_allow_all_except_delete/initial/2_1.json,SAT,1983.73,630.4485900589899,114.762,0.0,6.442943495848729,624.0056465631411,SAT,2591.69,698.0056465631412,98.6827,0.0,6.507794640198696,696.0056465631412
/samples/s3/exp_single/s3_allow_all_except_delete/initial.json,/samples/mutations/s3/exp_single/s3_allow_all_except_delete/initial/2_0.json,UNSAT,2431.11,,,,,,SAT,3236.34,702.5134412033399,330.009,0.0,6.507794640198696,696.0056465631412
/samples/s3/exp_single/s3_allow_all_except_delete/initial.json,/samples/mutations/s3/exp_single/s3_allow_all_except_delete/initial/3_0.json,UNSAT,2334.75,,,,,,SAT,3323.06,702.5134412033399,312.362,0.0,6.507794640198696,696.0056465631412
/samples/s3/exp_single/s3_allow_all_except_delete/initial.json,/samples/mutations/s3/exp_single/s3_allow_all_except_delete/initial/2_3.json,UNSAT,3655.28,,,,,,SAT,3247.63,702.5134412033399,323.548,0.0,6.507794640198696,696.0056465631412
/samples/s3/exp_single/s3_allow_all_except_delete/initial.json,/samples/mutations/s3/exp_single/s3_allow_all_except_delete/initial/1_1.json,SAT,1936.71,630.4485900589899,115.235,0.0,6.442943495848729,624.0056465631411,UNSAT,402.04,,,,,
/samples/s3/exp_single/s3_allow_all_except_delete/initial.json,/samples/mutations/s3/exp_single/s3_allow_all_except_delete/initial/3_3.json,UNSAT,3808.3,,,,,,SAT,3057.68,702.5134412033399,323.359,0.0,6.507794640198696,696.0056465631412
/samples/s3/exp_single/s3_allow_all_except_delete/initial.json,/samples/mutations/s3/exp_single/s3_allow_all_except_delete/initial/0_1.json,SAT,1994.26,630.4485900589899,115.628,0.0,6.442943495848729,624.0056465631411,UNSAT,393.953,,,,,
/samples/s3/exp_single/s3_allow_all_except_delete/initial.json,/samples/mutations/s3/exp_single/s3_allow_all_except_delete/initial/1_2.json,SAT,4333.87,630.5134412033399,119.168,0.0,6.507794640198696,624.0056465631411,UNSAT,2108.24,,,,,
/samples/s3/exp_single/s3_allow_all_except_delete/initial.json,/samples/mutations/s3/exp_single/s3_allow_all_except_delete/initial/0_3.json,UNSAT,3855.01,,,,,,UNSAT,2369.87,,,,,
/samples/s3/exp_single/s3_allow_all_except_delete/initial.json,/samples/mutations/s3/exp_single/s3_allow_all_except_delete/initial/3_1.json,SAT,1983.04,630.4485900589899,114.776,0.0,6.442943495848729,624.0056465631411,SAT,2428.08,698.0056465631412,98.2415,0.0,6.507794640198696,696.0056465631412
/samples/s3/exp_single/s3_allow_all_except_delete/initial.json,/samples/mutations/s3/exp_single/s3_allow_all_except_delete/initial/1_0.json,UNSAT,2355.41,,,,,,UNSAT,2342.01,,,,,
/samples/s3/exp_single/s3_allow_all_except_delete/initial.json,/samples/mutations/s3/exp_single/s3_allow_all_except_delete/initial/0_0.json,UNSAT,2349.92,,,,,,UNSAT,2336.36,,,,,
/samples/s3/exp_single/s3_public_access/policy.json,/samples/mutations/s3/exp_single/s3_public_access/policy/7_.json,UNSAT,684.665,,,,,,SAT,584.97,2144.0169396894235,423.739,800.0056465631411,0.0,544.0056465631412
/samples/s3/exp_single/s3_public_access/policy.json,/samples/mutations/s3/exp_single/s3_public_access/policy/4_.json,UNSAT,820.205,,,,,,SAT,596.07,2144.0169396894235,426.662,800.0056465631411,0.0,544.0056465631412
/samples/s3/exp_single/s3_public_access/policy.json,/samples/mutations/s3/exp_single/s3_public_access/policy/3_.json,UNSAT,1007.72,,,,,,UNSAT,1004.96,,,,,
/samples/s3/exp_single/s3_public_access/policy.json,/samples/mutations/s3/exp_single/s3_public_access/policy/0_.json,UNSAT,1007.03,,,,,,UNSAT,1006.28,,,,,
/samples/s3/exp_single/s3_public_access/policy.json,/samples/mutations/s3/exp_single/s3_public_access/policy/5_.json,UNSAT,1232.18,,,,,,UNSAT,1171.91,,,,,
/samples/s3/exp_single/s3_public_access/policy.json,/samples/mutations/s3/exp_single/s3_public_access/policy/6_.json,UNSAT,688.811,,,,,,SAT,585.145,2144.0169396894235,426.637,800.0056465631411,0.0,544.0056465631412
/samples/s3/exp_single/s3_public_access/policy.json,/samples/mutations/s3/exp_single/s3_public_access/policy/2_.json,UNSAT,798.881,,,,,,SAT,592.005,2144.0169396894235,431.855,800.0056465631411,0.0,544.0056465631412
/samples/s3/exp_single/s3_public_access/policy.json,/samples/mutations/s3/exp_single/s3_public_access/policy/1_.json,UNSAT,1123.98,,,,,,UNSAT,1002.96,,,,,
/samples/s3/exp_single/s3_object_query_permissions/fix.json,/samples/mutations/s3/exp_single/s3_object_query_permissions/fix/7_.json,UNSAT,596.638,,,,,,SAT,1836.34,801.0056465631412,131.732,0.0,6.507794640198696,0.0
/samples/s3/exp_single/s3_object_query_permissions/fix.json,/samples/mutations/s3/exp_single/s3_object_query_permissions/fix/4_.json,UNSAT,584.322,,,,,,SAT,194.531,801.0056465631412,26.5184,0.0,1.0,0.0
/samples/s3/exp_single/s3_object_query_permissions/fix.json,/samples/mutations/s3/exp_single/s3_object_query_permissions/fix/3_.json,UNSAT,265.914,,,,,,SAT,1681.21,7.475733430966398,99.261,0.0,6.475733430966398,0.0
/samples/s3/exp_single/s3_object_query_permissions/fix.json,/samples/mutations/s3/exp_single/s3_object_query_permissions/fix/0_.json,UNSAT,231.343,,,,,,UNSAT,142.555,,,,,
/samples/s3/exp_single/s3_object_query_permissions/fix.json,/samples/mutations/s3/exp_single/s3_object_query_permissions/fix/5_.json,UNSAT,262.522,,,,,,SAT,1793.21,7.475733430966398,97.491,0.0,6.475733430966398,0.0
/samples/s3/exp_single/s3_object_query_permissions/fix.json,/samples/mutations/s3/exp_single/s3_object_query_permissions/fix/6_.json,UNSAT,497.276,,,,,,SAT,1907.97,801.0056465631412,134.561,0.0,6.507794640198696,0.0
/samples/s3/exp_single/s3_object_query_permissions/fix.json,/samples/mutations/s3/exp_single/s3_object_query_permissions/fix/2_.json,UNSAT,601.397,,,,,,SAT,242.053,801.0056465631412,29.2453,0.0,1.0,0.0
/samples/s3/exp_single/s3_object_query_permissions/fix.json,/samples/mutations/s3/exp_single/s3_object_query_permissions/fix/1_.json,UNSAT,232.73,,,,,,UNSAT,232.366,,,,,
/samples/s3/exp_single/s3_policy_for_lambda_function/policy2.json,/samples/mutations/s3/exp_single/s3_policy_for_lambda_function/policy2/3_2.json,UNSAT,600.368,,,,,,SAT,2109.5,702.5134412033398,168.935,0.0,6.507794640198696,696.0056465631412
/samples/s3/exp_single/s3_policy_for_lambda_function/policy2.json,/samples/mutations/s3/exp_single/s3_policy_for_lambda_function/policy2/1_3.json,UNSAT,686.854,,,,,,SAT,1634.38,702.5134412033398,167.201,0.0,6.507794640198696,696.0056465631412
/samples/s3/exp_single/s3_policy_for_lambda_function/policy2.json,/samples/mutations/s3/exp_single/s3_policy_for_lambda_function/policy2/0_2.json,UNSAT,658.646,,,,,,SAT,1563.23,702.5134412033398,167.386,0.0,6.507794640198696,696.0056465631412
/samples/s3/exp_single/s3_policy_for_lambda_function/policy2.json,/samples/mutations/s3/exp_single/s3_policy_for_lambda_function/policy2/2_2.json,UNSAT,681.978,,,,,,SAT,1938.51,702.5134412033398,171.374,0.0,6.507794640198696,696.0056465631412
/samples/s3/exp_single/s3_policy_for_lambda_function/policy2.json,/samples/mutations/s3/exp_single/s3_policy_for_lambda_function/policy2/2_1.json,UNSAT,673.89,,,,,,SAT,1584.29,702.5134412033398,169.855,0.0,6.507794640198696,696.0056465631412
/samples/s3/exp_single/s3_policy_for_lambda_function/policy2.json,/samples/mutations/s3/exp_single/s3_policy_for_lambda_function/policy2/2_0.json,UNSAT,558.137,,,,,,SAT,1496.39,702.5134412033398,168.592,0.0,6.507794640198696,696.0056465631412
/samples/s3/exp_single/s3_policy_for_lambda_function/policy2.json,/samples/mutations/s3/exp_single/s3_policy_for_lambda_function/policy2/3_0.json,UNSAT,648.725,,,,,,SAT,1504.36,702.5134412033398,168.554,0.0,6.507794640198696,696.0056465631412
