Policy 1,Policy 2,P1 => P2,Solve Time (ms),lg(tuple),Count Time (ms),lg(principal),lg(action),lg(resource),P2 => P1,Solve Time (ms),lg(tuple),Count Time (ms),lg(principal),lg(action),lg(resource)
Policy 1,Policy 2,SAT,2620.55,8370866962535629295000422630723339735576724282666201900795925960326060538110737490152548201896160655022947564139123444465517122124389325279014564276898612424992405103940074779148069504037614919960809012165586940436308422706296660216944758800060875033092682799420144725098695526818254412168153838034315477349548548936927530294508924707556670966820052857558025998836707098925773663046229774234645722348933743206570298872208823558666580775391569181602430207955573528985159122974872143482037587018931980607391969852609113400520533047544690008263631091424790818520131256215812448564409323669218357998348346398442902879406340,161.72,6694163509087226251625262974214282337525718158874009761025262744359190325024760040429359385973011366392902184752623174722147189111586499845384388821163499967844550354335638144966855063503625060120058996591321451401226790186643035649168441601,1,969923143031782486511774592233910549157377839612595450643384533697636176888360263413005494357815862704304593827514271919024960918850004744970769235693698697712183420190977,UNSAT,142.134,,,,,
/samples/s3/exp_single/s3_allow_all_except_delete/initial.json,/samples/mutations/s3/exp_single/s3_allow_all_except_delete/initial/3_2.json,SAT,231.607,27886467214147730287127964985144673684470323269888783626818476348266874141773841471200119702791147504798366730765566008810853473303552879689326499585877472288219169477260727114742747442132538892382336617888265272088958113402176705268580577165474704909365867767722681096038454757516515622257648200862042689841891566359739229240788356547681899879017073668308662121728095218085620098282348632775411863834449796983044331209217,12.0961,1,399003238027526512838915763748543401809079537324548349441603585741471667589232924010119401572526178741032015368498752994665335959886699905716442395518034694662365338464715370235851708859421316392425238882978049004151033770241918304513,69890328088575294403204221901046129364173230809567400897352826560957033811407435455053811447876400119158123614791580994342657854187736488943821405020254506560232761555763862593181283582209,UNSAT,64.7338,,,,,
/samples/s3/exp_single/s3_allow_all_except_delete/initial.json,/samples/mutations/s3/exp_single/s3_allow_all_except_delete/initial/1_3.json,UNSAT,195.142,,,,,,UNSAT,145.623,,,,,
/samples/s3/exp_single/s3_allow_all_except_delete/initial.json,/samples/mutations/s3/exp_single/s3_allow_all_except_delete/initial/0_2.json,SAT,239.671,27886467214147730287127964985144673684470323269888783626818476348266874141773841471200119702791147504798366730765566008810853473303552879689326499585877472288219169477260727114742747442132538892382336617888265272088958113402176705268580577165474704909365867767722681096038454757516515622257648200862042689841891566359739229240788356547681899879017073668308662121728095218085620098282348632775411863834449796983044331209217,12.0669,1,399003238027526512838915763748543401809079537324548349441603585741471667589232924010119401572526178741032015368498752994665335959886699905716442395518034694662365338464715370235851708859421316392425238882978049004151033770241918304513,69890328088575294403204221901046129364173230809567400897352826560957033811407435455053811447876400119158123614791580994342657854187736488943821405020254506560232761555763862593181283582209,UNSAT,86.1656,,,,,
/samples/s3/exp_single/s3_allow_all_except_delete/initial.json,/samples/mutations/s3/exp_single/s3_allow_all_except_delete/initial/2_2.json,SAT,231.298,27886467214147730287127964985144673684470323269888783626818476348266874141773841471200119702791147504798366730765566008810853473303552879689326499585877472288219169477260727114742747442132538892382336617888265272088958113402176705268580577165474704909365867767722681096038454757516515622257648200862042689841891566359739229240788356547681899879017073668308662121728095218085620098282348632775411863834449796983044331209217,12.0306,1,399003238027526512838915763748543401809079537324548349441603585741471667589232924010119401572526178741032015368498752994665335959886699905716442395518034694662365338464715370235851708859421316392425238882978049004151033770241918304513,69890328088575294403204221901046129364173230809567400897352826560957033811407435455053811447876400119158123614791580994342657854187736488943821405020254506560232761555763862593181283582209,UNSAT,64.9254,,,,,
/samples/s3/exp_single/s3_allow_all_except_delete/initial.json,/samples/mutations/s3/exp_single/s3_allow_all_except_delete/initial/2_1.json,SAT,148.107,27886467214147730287127964985144673684470323269888783626818476348266874141773841471200119702791147504798366730765566008810853473303552879689326499585877472288219169477260727114742747442132538892382336617888265272088958113402176705268301015853120403731753050880118496578581761834278246018668236894618214554596261824539523983449282756071049405419850749690938030704977149262310334478201330606534480817611394346610319196880381,30.3902,1,399003238027526512838915763748543401809079537324548349441603585741471667589232924010119401572526178741032015368498752994665335959886699905716442395518034694662365338464715370235851708859421316392425238882978049004151033770241918304509,69890328088575294403204221901046129364173230809567400897352826560957033811407435455053811447876400119158123614791580994342657854187736488943821405020254506560232761555763862593181283582209,SAT,299.153,399003238027526512838917083939514770812626452430683132492143958017860194428683731612162934800365888928768220005683644281039039343240108213841954206115595183587991322584849921015785741846155116783776954863539177669934427957391729426685,46.1967,1,399003238027526512838915763748543401809079537324548349441603585741471667589232924010119401572526178741032015368498752994665335959886699905716442395518034694662365338464715370235851708859421316392425238882978049004151033770241918304513,330047742842250886728776533695762635093069097131709862701900510883306959927546934051159296222821593425845838352077031377952649390122231406496030033637694983508246683450097837928995140282166445848546787452780544
/samples/s3/exp_single/s3_allow_all_except_delete/initial.json,/samples/mutations/s3/exp_single/s3_allow_all_except_delete/initial/2_0.json,UNSAT,144.383,,,,,,SAT,211.212,131690118097734490443955452123565457745686715780249668949966131401393416234888153993889595691431598110021128577475868793230490302821922852185855256458891624635756792801468319172657545048249481040387097681795340086700105214031033762896886532611957001739137893425825479340075249540967368587406645160238836327227198635499293824693375143454031450220917789906954148267544409952312798975858345629666628255624424340388681410299984948500531251953795068,133.748,1,399003238027526512838915763748543401809079537324548349441603585741471667589232924010119401572526178741032015368498752994665335959886699905716442395518034694662365338464715370235851708859421316392425238882978049004151033770241918304513,330047742842250886728776533695762635093069097131709862701900510883306959927546934051159296222821593425845838352077031377952649390122231406496030033637694983508246683450097837928995140282166445848546787452780544
/samples/s3/exp_single/s3_allow_all_except_delete/initial.json,/samples/mutations/s3/exp_single/s3_allow_all_except_delete/initial/3_0.json,UNSAT,133.421,,,,,,SAT,164.825,131690118097734490443955452123565457745686715780249668949966131401393416234888153993889595691431598110021128577475868793230490302821922852185855256458891624635756792801468319172657545048249481040387097681795340086700105214031033762896886532611957001739137893425825479340075249540967368587406645160238836327227198635499293824693375143454031450220917789906954148267544409952312798975858345629666628255624424340388681410299984948500531251953795068,138.065,1,399003238027526512838915763748543401809079537324548349441603585741471667589232924010119401572526178741032015368498752994665335959886699905716442395518034694662365338464715370235851708859421316392425238882978049004151033770241918304513,330047742842250886728776533695762635093069097131709862701900510883306959927546934051159296222821593425845838352077031377952649390122231406496030033637694983508246683450097837928995140282166445848546787452780544
/samples/s3/exp_single/s3_allow_all_except_delete/initial.json,/samples/mutations/s3/exp_single/s3_allow_all_except_delete/initial/2_3.json,UNSAT,189.343,,,,,,SAT,153.935,131690118097734490443955452123565457745686715780249668949966131401393416234888153993889595691431598110021128577475868793230490302821922852185855256458891624635756792801468319172657545048249481040387097681795340086700105214031033762896886532611957001739137893425825479340075249540967368587406645160238836327227198635499293824693375143454031450220917789906954148267544409952312798975858345629666628255624424340388681410299984948500531251953795072,34.8385,1,399003238027526512838915763748543401809079537324548349441603585741471667589232924010119401572526178741032015368498752994665335959886699905716442395518034694662365338464715370235851708859421316392425238882978049004151033770241918304513,330047742842250886728776533695762635093069097131709862701900510883306959927546934051159296222821593425845838352077031377952649390122231406496030033637694983508246683450097837928995140282166445848546787452780544
/samples/s3/exp_single/s3_allow_all_except_delete/initial.json,/samples/mutations/s3/exp_single/s3_allow_all_except_delete/initial/1_1.json,SAT,152.403,27886467214147730287127964985144673684470323269888783626818476348266874141773841471200119702791147504798366730765566008810853473303552879689326499585877472288219169477260727114742747442132538892382336617888265272088958113402176705268301015853120403731753050880118496578581761834278246018668236894618214554596261824539523983449282756071049405419850749690938030704977149262310334478201330606534480817611394346610319196880381,29.9002,1,399003238027526512838915763748543401809079537324548349441603585741471667589232924010119401572526178741032015368498752994665335959886699905716442395518034694662365338464715370235851708859421316392425238882978049004151033770241918304509,69890328088575294403204221901046129364173230809567400897352826560957033811407435455053811447876400119158123614791580994342657854187736488943821405020254506560232761555763862593181283582209,UNSAT,200.441,,,,,
/samples/s3/exp_single/s3_allow_all_except_delete/initial.json,/samples/mutations/s3/exp_single/s3_allow_all_except_delete/initial/3_3.json,UNSAT,185.482,,,,,,SAT,155.39,131690118097734490443955452123565457745686715780249668949966131401393416234888153993889595691431598110021128577475868793230490302821922852185855256458891624635756792801468319172657545048249481040387097681795340086700105214031033762896886532611957001739137893425825479340075249540967368587406645160238836327227198635499293824693375143454031450220917789906954148267544409952312798975858345629666628255624424340388681410299984948500531251953795072,35.7104,1,399003238027526512838915763748543401809079537324548349441603585741471667589232924010119401572526178741032015368498752994665335959886699905716442395518034694662365338464715370235851708859421316392425238882978049004151033770241918304513,330047742842250886728776533695762635093069097131709862701900510883306959927546934051159296222821593425845838352077031377952649390122231406496030033637694983508246683450097837928995140282166445848546787452780544
/samples/s3/exp_single/s3_allow_all_except_delete/initial.json,/samples/mutations/s3/exp_single/s3_allow_all_except_delete/initial/0_1.json,SAT,157.935,27886467214147730287127964985144673684470323269888783626818476348266874141773841471200119702791147504798366730765566008810853473303552879689326499585877472288219169477260727114742747442132538892382336617888265272088958113402176705268301015853120403731753050880118496578581761834278246018668236894618214554596261824539523983449282756071049405419850749690938030704977149262310334478201330606534480817611394346610319196880381,30.6046,1,399003238027526512838915763748543401809079537324548349441603585741471667589232924010119401572526178741032015368498752994665335959886699905716442395518034694662365338464715370235851708859421316392425238882978049004151033770241918304509,69890328088575294403204221901046129364173230809567400897352826560957033811407435455053811447876400119158123614791580994342657854187736488943821405020254506560232761555763862593181283582209,UNSAT,206.297,,,,,
/samples/s3/exp_single/s3_allow_all_except_delete/initial.json,/samples/mutations/s3/exp_single/s3_allow_all_except_delete/initial/1_2.json,SAT,238.937,27886467214147730287127964985144673684470323269888783626818476348266874141773841471200119702791147504798366730765566008810853473303552879689326499585877472288219169477260727114742747442132538892382336617888265272088958113402176705268580577165474704909365867767722681096038454757516515622257648200862042689841891566359739229240788356547681899879017073668308662121728095218085620098282348632775411863834449796983044331209217,12.1217,1,399003238027526512838915763748543401809079537324548349441603585741471667589232924010119401572526178741032015368498752994665335959886699905716442395518034694662365338464715370235851708859421316392425238882978049004151033770241918304513,69890328088575294403204221901046129364173230809567400897352826560957033811407435455053811447876400119158123614791580994342657854187736488943821405020254506560232761555763862593181283582209,UNSAT,85.0798,,,,,
/samples/s3/exp_single/s3_allow_all_except_delete/initial.json,/samples/mutations/s3/exp_single/s3_allow_all_except_delete/initial/0_3.json,UNSAT,191.157,,,,,,UNSAT,147.904,,,,,
/samples/s3/exp_single/s3_allow_all_except_delete/initial.json,/samples/mutations/s3/exp_single/s3_allow_all_except_delete/initial/3_1.json,SAT,146.722,27886467214147730287127964985144673684470323269888783626818476348266874141773841471200119702791147504798366730765566008810853473303552879689326499585877472288219169477260727114742747442132538892382336617888265272088958113402176705268301015853120403731753050880118496578581761834278246018668236894618214554596261824539523983449282756071049405419850749690938030704977149262310334478201330606534480817611394346610319196880381,30.0957,1,399003238027526512838915763748543401809079537324548349441603585741471667589232924010119401572526178741032015368498752994665335959886699905716442395518034694662365338464715370235851708859421316392425238882978049004151033770241918304509,69890328088575294403204221901046129364173230809567400897352826560957033811407435455053811447876400119158123614791580994342657854187736488943821405020254506560232761555763862593181283582209,SAT,300.067,399003238027526512838917083939514770812626452430683132492143958017860194428683731612162934800365888928768220005683644281039039343240108213841954206115595183587991322584849921015785741846155116783776954863539177669934427957391729426685,47.5504,1,399003238027526512838915763748543401809079537324548349441603585741471667589232924010119401572526178741032015368498752994665335959886699905716442395518034694662365338464715370235851708859421316392425238882978049004151033770241918304513,330047742842250886728776533695762635093069097131709862701900510883306959927546934051159296222821593425845838352077031377952649390122231406496030033637694983508246683450097837928995140282166445848546787452780544
/samples/s3/exp_single/s3_allow_all_except_delete/initial.json,/samples/mutations/s3/exp_single/s3_allow_all_except_delete/initial/1_0.json,UNSAT,138.357,,,,,,UNSAT,140.688,,,,,
/samples/s3/exp_single/s3_allow_all_except_delete/initial.json,/samples/mutations/s3/exp_single/s3_allow_all_except_delete/initial/0_0.json,UNSAT,137.888,,,,,,UNSAT,139.277,,,,,
/samples/s3/exp_single/s3_public_access/policy.json,/samples/mutations/s3/exp_single/s3_public_access/policy/7_.json,UNSAT,203.077,,,,,,SAT,530.599,2590657844113512195813695145340216498290162333857794881825424456947121496821627290355587774824547380866035596858244381707684529856645896125927750262393414810720124494332386891213417270278156089757038038410149092120024285161972030765503844418468295810894084421320016319755874731231693936368800366401539659242253400335705180563516873620368491848375370967465125310874990334992487754129128846320297559115711647442554629670878147647634217351325551170511469902586378095712233049687843574156677730176674558606082033286561128587552397036473135687750142273904804076748059753307442575551189502793729701456243012611410894704021871975384933202955042532490495,450.201,6694163509087226251625262974214282337525718158874009761025262744359190325024760040429359385973011366392902184752623174722147189111586499845384388821163499967844550354335638144966855063503625060120058996591321451401226790186643035649168441601,1,57811924399839787871347343458766373941742053008830276169978650432684193664095417464554637334216586512583767999858514780940113122394681259689972951155525368315707649
/samples/s3/exp_single/s3_public_access/policy.json,/samples/mutations/s3/exp_single/s3_public_access/policy/4_.json,UNSAT,164.756,,,,,,SAT,479.429,2590657844113512195813695145340216498290162333857794881825424456947121496821627290355587774824547380866035596858244381707684529856645896125927750262393414810720124494332386891213417270278156089757038038410149092120024285161972030765503844418468295810894084421320016319755874731231693936368800366401539659242253400335705180563516873620368491848375370967465125310874990334992487754129128846320297559115711647442554629670878147647634217351325551170511469902586378095712233049687843574156677730176674558606082033286561128587552397036473135687750142273904804076748059753307442575551189502793729701456243012611410894704021871975384933202955042532490495,439.684,6694163509087226251625262974214282337525718158874009761025262744359190325024760040429359385973011366392902184752623174722147189111586499845384388821163499967844550354335638144966855063503625060120058996591321451401226790186643035649168441601,1,57811924399839787871347343458766373941742053008830276169978650432684193664095417464554637334216586512583767999858514780940113122394681259689972951155525368315707649
/samples/s3/exp_single/s3_public_access/policy.json,/samples/mutations/s3/exp_single/s3_public_access/policy/3_.json,UNSAT,887.798,,,,,,UNSAT,884.868,,,,,
/samples/s3/exp_single/s3_public_access/policy.json,/samples/mutations/s3/exp_single/s3_public_access/policy/0_.json,UNSAT,955.563,,,,,,UNSAT,920.25,,,,,
/samples/s3/exp_single/s3_public_access/policy.json,/samples/mutations/s3/exp_single/s3_public_access/policy/5_.json,UNSAT,910.052,,,,,,UNSAT,896.308,,,,,
/samples/s3/exp_single/s3_public_access/policy.json,/samples/mutations/s3/exp_single/s3_public_access/policy/6_.json,UNSAT,167.031,,,,,,SAT,479.555,2590657844113512195813695145340216498290162333857794881825424456947121496821627290355587774824547380866035596858244381707684529856645896125927750262393414810720124494332386891213417270278156089757038038410149092120024285161972030765503844418468295810894084421320016319755874731231693936368800366401539659242253400335705180563516873620368491848375370967465125310874990334992487754129128846320297559115711647442554629670878147647634217351325551170511469902586378095712233049687843574156677730176674558606082033286561128587552397036473135687750142273904804076748059753307442575551189502793729701456243012611410894704021871975384933202955042532490495,433.399,6694163509087226251625262974214282337525718158874009761025262744359190325024760040429359385973011366392902184752623174722147189111586499845384388821163499967844550354335638144966855063503625060120058996591321451401226790186643035649168441601,1,57811924399839787871347343458766373941742053008830276169978650432684193664095417464554637334216586512583767999858514780940113122394681259689972951155525368315707649
/samples/s3/exp_single/s3_public_access/policy.json,/samples/mutations/s3/exp_single/s3_public_access/policy/2_.json,UNSAT,167.162,,,,,,SAT,478.243,2590657844113512195813695145340216498290162333857794881825424456947121496821627290355587774824547380866035596858244381707684529856645896125927750262393414810720124494332386891213417270278156089757038038410149092120024285161972030765503844418468295810894084421320016319755874731231693936368800366401539659242253400335705180563516873620368491848375370967465125310874990334992487754129128846320297559115711647442554629670878147647634217351325551170511469902586378095712233049687843574156677730176674558606082033286561128587552397036473135687750142273904804076748059753307442575551189502793729701456243012611410894704021871975384933202955042532490495,439.474,6694163509087226251625262974214282337525718158874009761025262744359190325024760040429359385973011366392902184752623174722147189111586499845384388821163499967844550354335638144966855063503625060120058996591321451401226790186643035649168441601,1,57811924399839787871347343458766373941742053008830276169978650432684193664095417464554637334216586512583767999858514780940113122394681259689972951155525368315707649
/samples/s3/exp_single/s3_public_access/policy.json,/samples/mutations/s3/exp_single/s3_public_access/policy/1_.json,UNSAT,891.101,,,,,,UNSAT,895.587,,,,,
/samples/s3/exp_single/s3_object_query_permissions/fix.json,/samples/mutations/s3/exp_single/s3_object_query_permissions/fix/7_.json,UNSAT,42.7304,,,,,,SAT,156.246,3359510836134720317414763227532127501151031955671229413614712125167924832311087320753838782504910576460170565849314704068825674750579632153385012252108362696894871930850520805214047060685508538523689588254610343861666207340522381725577978017311797848306609681997800866679519012537401392849020648845253323647073892114646333234585218039956769627267815723380406813178734036836212326674030746932163161390038191788299650248609215288792586736124909615159427331930364767943826461626593753999747483786912957858302,106.414,1,399003238027526512838915763748543401809079537324548349441603585741471667589232924010119401572526178741032015368498752994665335959886699905716442395518034694662365338464715370235851708859421316392425238882978049004151033770241918304513,1
/samples/s3/exp_single/s3_object_query_permissions/fix.json,/samples/mutations/s3/exp_single/s3_object_query_permissions/fix/4_.json,UNSAT,25.6229,,,,,,SAT,46.9145,13388327018174452503250525948428564675051436317748019522050525488718380650049520080858718771946022732785804369505246349444294378223172999690768777642326999935689100708671276289933710127007250120240117993182642902802453580373286071298336883198,26.3869,1,2,1
/samples/s3/exp_single/s3_object_query_permissions/fix.json,/samples/mutations/s3/exp_single/s3_object_query_permissions/fix/3_.json,UNSAT,67.8829,,,,,,SAT,66.9679,798006476055053025677831527497086803618159074649096698883207171482943335178465848020238803145052357482064030736997505989330671919773399811432884791036069389324730676929430740471703417718842632784850477765956098008302067540483836609022,31.774,1,399003238027526512838915763748543401809079537324548349441603585741471667589232924010119401572526178741032015368498752994665335959886699905716442395518034694662365338464715370235851708859421316392425238882978049004151033770241918304511,1
/samples/s3/exp_single/s3_object_query_permissions/fix.json,/samples/mutations/s3/exp_single/s3_object_query_permissions/fix/0_.json,UNSAT,54.718,,,,,,UNSAT,38.1897,,,,,
/samples/s3/exp_single/s3_object_query_permissions/fix.json,/samples/mutations/s3/exp_single/s3_object_query_permissions/fix/5_.json,UNSAT,96.6369,,,,,,SAT,70.3506,798006476055053025677831527497086803618159074649096698883207171482943335178465848020238803145052357482064030736997505989330671919773399811432884791036069389324730676929430740471703417718842632784850477765956098008302067540483836609022,32.6022,1,399003238027526512838915763748543401809079537324548349441603585741471667589232924010119401572526178741032015368498752994665335959886699905716442395518034694662365338464715370235851708859421316392425238882978049004151033770241918304511,1
/samples/s3/exp_single/s3_object_query_permissions/fix.json,/samples/mutations/s3/exp_single/s3_object_query_permissions/fix/6_.json,UNSAT,42.9844,,,,,,SAT,88.1229,3359510836134720317414763227532127501151031955671229413614712125167924832311087320753838782504910576460170565849314704068825674750579632153385012252108362696894871930850520805214047060685508538523689588254610343861666207340522381725577978017311797848306609681997800866679519012537401392849020648845253323647073892114646333234585218039956769627267815723380406813178734036836212326674030746932163161390038191788299650248609215288792586736124909615159427331930364767943826461626593753999747483786912957858302,102.288,1,399003238027526512838915763748543401809079537324548349441603585741471667589232924010119401572526178741032015368498752994665335959886699905716442395518034694662365338464715370235851708859421316392425238882978049004151033770241918304513,1
/samples/s3/exp_single/s3_object_query_permissions/fix.json,/samples/mutations/s3/exp_single/s3_object_query_permissions/fix/2_.json,UNSAT,41.325,,,,,,SAT,62.0881,13388327018174452503250525948428564675051436317748019522050525488718380650049520080858718771946022732785804369505246349444294378223172999690768777642326999935689100708671276289933710127007250120240117993182642902802453580373286071298336883198,33.3996,1,2,1
/samples/s3/exp_single/s3_object_query_permissions/fix.json,/samples/mutations/s3/exp_single/s3_object_query_permissions/fix/1_.json,UNSAT,55.8298,,,,,,UNSAT,38.3379,,,,,
/samples/s3/exp_single/s3_policy_for_lambda_function/policy2.json,/samples/mutations/s3/exp_single/s3_policy_for_lambda_function/policy2/3_2.json,UNSAT,66.0718,,,,,,SAT,84.8013,131690118097734490443983338590779605475973843745234813623650601724663305018514972470237862565573371951492328697178659940735288669552688418194666109932195177515446119301054196644945764217726741767501840429237472625592487550648922028168975490725358277914386132579748868043072593048513671740601466360224067288520298871868112383882184974026124850808672594331567064740742916396476746043387234989337233585752888237526367506553410344200759628087164669,33.7904,1,399003238027526512838915763748543401809079537324548349441603585741471667589232924010119401572526178741032015368498752994665335959886699905716442395518034694662365338464715370235851708859421316392425238882978049004151033770241918304513,330047742842250886728846424023851210387472301353610908831264684114116527328444286877720253256633000861300892163524907778071807513737022987490372691491882719997190504855118092435555373043722209711139968736362753
/samples/s3/exp_single/s3_policy_for_lambda_function/policy2.json,/samples/mutations/s3/exp_single/s3_policy_for_lambda_function/policy2/1_3.json,UNSAT,65.1647,,,,,,SAT,64.3172,131690118097734490443983338590779605475973843745234813623650601724663305018514972470237862565573371951492328697178659940735288669552688418194666109932195177515446119301054196644945764217726741767501840429237472625592487550648922028168975490725358277914386132579748868043072593048513671740601466360224067288520298871868112383882184974026124850808672594331567064740742916396476746043387234989337233585752888237526367506553410344200759628087164669,33.8128,1,399003238027526512838915763748543401809079537324548349441603585741471667589232924010119401572526178741032015368498752994665335959886699905716442395518034694662365338464715370235851708859421316392425238882978049004151033770241918304513,330047742842250886728846424023851210387472301353610908831264684114116527328444286877720253256633000861300892163524907778071807513737022987490372691491882719997190504855118092435555373043722209711139968736362753
/samples/s3/exp_single/s3_policy_for_lambda_function/policy2.json,/samples/mutations/s3/exp_single/s3_policy_for_lambda_function/policy2/0_2.json,UNSAT,64.512,,,,,,SAT,128.314,131690118097734490443983338590779605475973843745234813623650601724663305018514972470237862565573371951492328697178659940735288669552688418194666109932195177515446119301054196644945764217726741767501840429237472625592487550648922028168975490725358277914386132579748868043072593048513671740601466360224067288520298871868112383882184974026124850808672594331567064740742916396476746043387234989337233585752888237526367506553410344200759628087164669,49.4445,1,399003238027526512838915763748543401809079537324548349441603585741471667589232924010119401572526178741032015368498752994665335959886699905716442395518034694662365338464715370235851708859421316392425238882978049004151033770241918304513,330047742842250886728846424023851210387472301353610908831264684114116527328444286877720253256633000861300892163524907778071807513737022987490372691491882719997190504855118092435555373043722209711139968736362753
