Policy,SAT/UNSAT,Solve Time (ms),lg(tuple),Count Time (ms),lg(principal),lg(action),lg(resource)
/samples/ec2/exp_single/ec2_prevent_running_classic/policy.json,SAT,429.972,1901415749617301395300894274421834311533612486839013742863917450444025332417367264564259294671804712873528870544714276370371054332414520058694919832648197953356036856162230094076583730489254035201950835157357042879294099901898145418559375728938612698814786041951801002882468350108743236687134926817837460428350453355976661180578591286580519505972683300663373993945977228006698788540330776026026030709865814589234125300079754628694530,43.3933,1,1,225827829686874171372546203651260150283102670038761858466301961709826586677482159946830666665946658823329948979390396028102038903301874781210569766461240087348999
/samples/ec2/exp_single/ec2_require_mfa_session_token/policy.json,SAT,26.8961,10433566078169971393030365721322760738578244233770571104952267995481024395141637286952993256090179740788068647993393415708761320121975504866195031447680882324679290895530625234831814634645358530747435153320285238865790237506640459248267729121996846034241038162659186200525618164510959175162803218653154866124007217699202152338518111417852885908068100546624737076567641229861720661977257401350789210823374651815713892043964683246411283952127776778020178582982298534418776577,4.37556,1,1558606398545025440777014702142747663316716942674016990006264006802623701520441109414528912392680385707156310033198253885411468593307421506704853107492323026024864603377794414983795737732114517157911089386633003922464975665007493377,6694163509087226251625262974214282337525718158874009761025262744359190325024760040429359385973011366392902184752623174722147189111586499845384388821163499967844550354335638144966855063503625060120058996591321451401226790186643035649168441601
/samples/ec2/exp_single/ec2_launch_instance_specific_subnet/policy.json,SAT,491.578,565613380879727021275698696108371017995314646059021368062980226103984719200152174643247762568641385436607463150518130215221239056726395510012237109436499581260909269525016666801426304174467152295806115263999917658288991915468237290473635926271583596689907951450530872169342222177738297856858284912867467773918963900347874978967996083149574878521771134627412935190230059985098646258889775373265495861588820327677530403044892658574560777697643952953446187,57.1445,1,84493511416611704545110969106449753027983485210201555203416381260886151763766614176192000928437331943152642850472390160357390816514778420043580293290248116486155758268319821968550751887368837725933516137011741187,6694163509087226251625262974214282337525718158874009761025262744359190325024760040429359385973011366392902184752623174722147189111586499845384388821163499967844550354335638144966855063503625060120058996591321451401226790186643035649168441601
/samples/ec2/exp_single/ec2_allow_ebs_volume_owners/policy.json,SAT,164.582,882992413224158416556242630181049202195971527861388697897319167962212666991287915584359659904528936326571963793746844661591470486307644944304429907013506551578588975325290375958380672209231368431968666900668873659573762328583328561874673688219387920493164887139084539233391973436788528071679803453375936249165717932354043777033360370481911966217828770547585103436439259320925619789618718586203974510724118726773130990028886016656806333133635731622791740917611848192,690.406,1,2,52430914575062882505243102258326938563141651048610649675879296310042261518832070048588106492601672173768606657506283391697981931755200882569247434891478858372677831700020757411508603809335846912
/samples/ec2/exp_single/ec2_limit_ebs_volume_size/fixed.json,SAT,511.51,338179433713036847189136265542981900158106670462757123374997251522870592171330114790990605482532527023518339556762296609203388135597180517950587289256575787677004923905167955233285166671435839408701789339440820775398705222130915020174093901167959204582871867903594756945870831252653199579854168439815089410457683157184249745766224142566376588125026852811413215483926057215926768461630462568689322526001560460519327698090879456783316831989215177333285158816903176859004152517349040316432564318730905571555815991830,2176.6,1,7,6694163509087226251625262974214282337525718158874009761025262744359190325024760040429359385973011366392902184752623174722147189111586499845384388821163499967844550354335638144966855063503625060120058996591321451401226790186643035649168441601
/samples/ec2/exp_single/ec2_limit_ebs_volume_size/initial.json,SAT,453.123,338179433713036847189136265542981900158106670463198613159716015226810787086890262459663529999571146242953704952238738252576135361731084777329580520050158011151513771959008981839949811555652526870594881442257314303609791663103226827067932991484202368447654351587050136411371398827720919788645233631063778060823484218118581488225900705674638937009030749958570392886365887104470246761289165760403900063108710116660680733447354923708339733985250335649224622051122631583130070033701113023715001974724378032022580325780,613.323,1,7,6694163509087226251625262974214282337525718158874009761025262744359190325024760040429359385973011366392902184752623174722147189111586499845384388821163499967844550354335638144966855063503625060120058996591321451401226790186643035649168441601
/samples/ec2/exp_single/ec2_restrict_to_specific_instance/policy.json,SAT,122.586,4780821534857585003018094542768722901320181582681067006779872816952759108174187136329259170234084798346389430187998177900211302796578687603468204887679291445571550929895604527924966545750383695794290227844050766983471462591330480906127095072128919976688621089537070510702642845384540903111347860672318633048499515049719451985430648285655907580815170192064628111681389054916855961025505356785579855611571015920894956566153548889264628607885142947331863559537285361827450526628262380646644197314640142653417430975374930112787822477219711991325195706440351038138676751995522522800568293486014009681801075156989318934037933277048292237851707608412216662935909851709521958392947539268607539206878706115373893219827185472241664003,28.4954,1,84492222167616227002584684550105909859192909146524392660803759133213830996081737440696384833698048220493028393862376391186382723516677884797535409021921976319280769242910231663502175499192885686051831996508864772,6694163509087226251625262974214282337525718158874009761025262744359190325024760040429359385973011366392902184752623174722147189111586499845384388821163499967844550354335638144966855063503625060120058996591321451401226790186643035649168441601
/samples/ec2/exp_single/ec2_enforce_project_tagging/policy.json,SAT,225.89,4780821819816754322742237274083295162219898277046901164310359804774386781845379554319653782144616929188884296224736942424562536053115576475775004983011251627719259201133867771099789348590053027725386292548124902276808069471277055670580451698118590698263012944349056937286704095237892979490697861059623448186392197864376777664076176581483433903124686026641057993588857332114702309961771404071495508331139801388699118629844224050102007698116087244524464736378773112283179768570135712772426448503197495381483232762127173800134620520792427257103374242726704074381216607044139311828209623886647304666518020585556831475951696646573039376877069302612647677725062866078181245053444371496824775354203360067659378453093329089196982272,46.6059,1,84492227203745115586735177849154127996570997334273131576985839688400050999080506490444414584068123547534667512833509257472206973879951715013340271851095125304307624668790737875631271500709197998707619825182704134,6694163509087226251625262974214282337525718158874009761025262744359190325024760040429359385973011366392902184752623174722147189111586499845384388821163499967844550354335638144966855063503625060120058996591321451401226790186643035649168441601
/samples/ec2/exp_single/ec2_actions_region_awsportal/policy.json,SAT,2264.92,1350938199049739228829238727899885748552729263732723870124648338633241839537875467815641181927238487866199015419919082727547940217978341585025360982049978925218195159069067685056617972026715712021920528886715524101540501738593766965901790284093372592359200972872512683772765610885694963340121122554376046070790236539372714069734472987916179886979679136321880779593661880293054999736275896185632990500370936238793762968587086112593433981145369020101126428799744699715962802108538499353259369941692610341738110139810537207264123859879868038203114202960559118382507765917091787249207000125005416147913119415886854568529586819389492219733710654661784440270626706918880618728085662514014810377257180308385498490463137547977871104908492409921246,1698.01,1,400561844426071538279692778450686149472396254267222366431609849748274291290753365119533930484918859126739171678531951248550747428480007327223147248625527017688390203068093164650835504597153430909583149972364682008073498745906925797857,6694163509087226251625262974214282337525718158874009761025262744359190325024760040429359385973011366392902184752623174722147189111586499845384388821163499967844550354335638144966855063503625060120058996591321451401226790186643035649168441601
/samples/ec2/exp_single/ec2_validate_attach_volume/policy.json,SAT,65.9263,286275151996309941831424693170553761258738814222913672038113262145340070306138068588616352553717227163079121708912240226639672986868855392244451463800776224777373405880006016423082611382951968,5.45262,1,1,17892196999769371364464043323159610078671175888932104502382078884083754394133629286788522034607326697692445106807015014164979561679303462015278216487548514048585837867500376026442663211434498
/samples/ec2/exp_single/ec2_terminate_instance_ip/policy.json,SAT,204.536,3434105880161747067083759905771926839150693415502367007405959787856264636737701900740261365004154830959558820778095688632461508014243874420682191465256875483504254331774182368367996647577359655841590265251347904568829343365747877288023410541313,42.0731,1,1,6694163509087226251625262974214282337525718158874009761025262744359190325024760040429359385973011366392902184752623174722147189111586499845384388821163499967844550354335638144966855063503625060120058996591321451401226790186643035649168441601
/samples/ec2/exp_single/ec2_allow_some_instances/fixed.json,SAT,112.614,845448584282592117972840663857454750395266676147979612866510491526419667751703367627226541248928587029351954701442643632081508174543309207568282225744026845582216935143243768923549906569288272309843920086479911022021721206790943265667116930595376577740628372938522880696228460510970437076293866348702803151244135524619374737202757306241447130083405154156494597338768204271504321076810876075472923346311426885882657730112971602248370461596207676047748447584124611500129133249462499507814279825249455506960697917954,62.4326,1,17,6694163509087226251625262974214282337525718158874009761025262744359190325024760040429359385973011366392902184752623174722147189111586499845384388821163499967844550354335638144966855063503625060120058996591321451401226790186643035649168441601
