Policy,SAT/UNSAT,Solve Time (ms),lg(tuple),Count Time (ms),lg(principal),lg(action),lg(resource)
/samples/s3/exp_single/s3_iam_user_cannot_create_folder_through_console/policy.json,SAT,1713.98,413807966160734242951911401879920512734970084935866899792512889321350276083333373426440630334383437004011299442029979005482647862500412480221130121410522973301608868813059152616567140228539233093868036248841333362013251387888189183758653474104453888206385654598328285547658129956280712789816448986805570444397653830248641654578628837381971294359573626446991194004908097821351177485082303874222726803942854471061347144431862794388128652751641869463705322449384615439599907507720106053043777934582771035945134080189157983086403806431157815705331051089309990513256609960358800795440567479604237162088900830728629490820817061889980320504258092692151866182065122081023474690769452793858,88.1451,1,33,402062934629701275267974050446520502088389869008651316071752702954385525030468393955004515448752100303412937730231621952255179991237320786
/samples/s3/exp_single/s3_allow_all_except_delete/fixed.json,SAT,2177.18,2096709842657258832096126657031383880925196924287022026920584796828711014342223063651614343436292003574743708443747429830279735625632094668314642150607635196806982846672915877795438507466287,87.685,1,77,69890328088575294403204221901046129364173230809567400897352826560957033811407435455053811447876400119158123614791580994342657854187736488943821405020254506560232761555763862593181283582210
/samples/s3/exp_single/s3_allow_all_except_delete/initial.json,SAT,883.407,2096709842657258832096126657031383880925196924287022026920584796828711014342223063651614343436292003574743708443747429830279735625632094668314642150607635196806982846672915877795438507466240,51.6466,1,30,69890328088575294403204221901046129364173230809567400897352826560957033811407435455053811447876400119158123614791580994342657854187736488943821405020254506560232761555763862593181283582208
/samples/s3/exp_single/s3_public_access/policy.json,SAT,757.686,1612170334362925171097650527553323542312830420514235828245276303383597980838648047709863135825547567494011317905038248674529596902394010807885156037435803468397612928643869529179847977042050193941572673523160168363663032227997443042495703109225178520452261284025174377440547826697036888266380528481154161281553767903736509301921779715723400278803679279608678256897445111165339165898686218739936242095411167324739530055541913398982023744089391389403586863599975005777477922000049347830451877345145943790257566374270421425005091248123358457679281293974404638345379138956335385884785771008,8.50069,6694163509087226251625262974214282337525718158874009761025262744359190325024760040429359385973011366392902184752623174722147189111586499845384388821163499967844550354335638144966855063503625060120058996591321451401226790186643035649168441601,1,57811924399839787871347343458766373941742053008830276169978650432684193664095417464554637334216586512583767999858514780940113122394681259689972951155525368315707648
/samples/s3/exp_single/s3_object_query_permissions/policy1.json,SAT,1905.28,6691313472439321319570031878263742419217130912673247028630667024365706627064659476878910502080233490600892480735154399647888275285247184897658654415281751031679316211084707513640242557329503903625006280717132939714720290783309182554150806246723303088178462243537207380243230236643121518586613037820990773805190596155994720386948563915725505753792302787690402307734930119052793959192418487363338655114135086788261979937733116659378495161060879949977901187639129017332441345406306894694411909734900427830490837319989916378930902050010544802157399221330382103555339785643796013241976156618887852229480061947610283112966520097774691968836062386919002734648736935914036053875688602473259335681,130.416,1,33,3133990916756234142629885902431170056416094092789839207144915220993304803936441159688598109039798762633302898616653336007992323713117829298184274
/samples/s3/exp_single/s3_object_query_permissions/fix.json,SAT,742.592,4,4.8847,1,2,1
/samples/s3/exp_single/s3_policy_for_lambda_function/policy2.json,SAT,681.129,900530020341423242086001912022360221419527901217254772285554329157411832043483501032060994266338641485983931934765426680510629504361594592838735547480289969818451495089315610409054096754668197839617,6.49152,1,4,300176673447141080695333970674120073806509300405751590761851443052470610681161167010686998088779547161994643978255142226836876501453864864279578515826763323272817165029771870136351365584889399279873
/samples/s3/exp_single/s3_policy_for_lambda_function/policy1.json,SAT,1277.74,29097694290953474595353237767017316474721335188377863519301536010929085306650807902390164830734475881129137814825428157570748827565500142349123077070810960931365502605729280,47.2297,1,30,969923143031782486511774592233910549157377839612595450643384533697636176888360263413005494357815862704304593827514271919024960918850004744970769235693698697712183420190976
/samples/s3/exp_single/s3_restrict_access_to_certain_roles/policy.json,SAT,1125.45,536757719720258261016608424200034273516850412617477638891669707988150019671609104294813271919690752915134389361599342036551612320161816235088548390555554610382587608748266464715632257911365165,71.8633,1,75,17891923990675275367220280806667809117228347087249254629722323599605000655720303476493775730656358430504479645386644734551720410672060541169618279685185153679419586958275548823854408597045505
/samples/s3/exp_single/s3_bucket_folder_restrict_by_user/policy.json,SAT,3987.94,112261611199592382311823658917853187597078270453983246986556788454249808246608747837000226899681862239129723390980185730464360259389941051990761687079180647438433725078957918491971534265513402938689958939420453233097559289562079519696434264407853398485469142461640178800454179110286184009932328798982122292297735271002657173732934863685037177747087052375634820907286818497477581360089601190448587723986270581118041652766874335942251257037065282786262692110435965588768205268863023181230748963009945000074918305213438455106988102703313359742237106788048102504808193887908373847230700893898327990994585574080877737491307050012539237851556337702502282189992347560418360801029330557391525442020704258,159.746,1,33,52579638940951576437332235824070040864224140921785343203529194689640307716831420482847643621516254837845052891635889594843207379215514408348578924585299
/samples/s3/exp_single/s3_remove_permissions_individual_files/policy2.json,SAT,2524.02,8370866962535629295000422630723339735576724282666201900795925960326060538110737490152548201896160655022947564139123444465517122124389325279014564276898612424992405103940066148704489850910049183068731126833362467014484734997551020651110131265703181635856873290859047308594482525564756111510277810156067672361373743298747013951355272430682157078988729691954253059088232098311403135983897493916219617264517921994164090377441695440218822782970372349058157966306882444713147959417671341685690451854696082218640052189308794039886693398310231933776325177193113777880085086390159343000888233959108985373373174094332873589457920,169.378,6694163509087226251625262974214282337525718158874009761025262744359190325024760040429359385973011366392902184752623174722147189111586499845384388821163499967844550354335638144966855063503625060120058996591321451401226790186643035649168441601,1,969923143031782486511774592233910549157377839612595450643384533697636176888360263413005494357815862704304593827514271919024960918850004744970769235693698697712183420190976
/samples/s3/exp_single/s3_remove_permissions_individual_files/policy1.json,UNSAT,128.623,,,,,
