Policy,SAT/UNSAT,Solve Time (ms),lg(tuple),Count Time (ms),lg(principal),lg(action),lg(resource)
/samples/s3/exp_single/s3_iam_user_cannot_create_folder_through_console/policy.json,SAT,1779.51,46978503631884405724887388640321818800976165845338959362577374237259049086765080004909579421358453687742754134315654458721115115564578483291004140631848543520737075399786988052446743941944217169422167534669052134825658183960738226625990551231911399889725137999348295051896909622917802664783361735174410138842859667769795767432926706888387479501534331804662542340640641723445815977764033862315188712329343406895685460249947655984276677236299715222598659054234898819333868466852570211337540162240797602945540886588139489040169613630495342097852954043052207347284115840156680344841879961898726444601901959602470067639622014013235035692953792431961345422904433510928992171591217910552159710547156336047553087626188018703291944813758232768084726813758062594,153.595,1,91,330047742842250886728846424023851210387472301353610908831264684114116527328444286877720253256633000861300892163524907778071807513737022987490372691491882719997190504855118092435555373043722209711139968736362753
/samples/s3/exp_single/s3_allow_all_except_delete/fixed.json,SAT,1422.8,33470817545436131258126314871071411687628590794370054815694529339271270300686883692113922248762906454760988096106200115915643726597381633854706461476227747437853623847643704193409735462856174469241126724844171437023627746625398191836230278061,154.095,1,91,6694163509087226251625262974214282337525718158874009761025262744359190325024760040429359385973011366392902184752623174722147189111586499845384388821163499967844550354335638144966855063503625060120058996591321451401226790186643035649168441601
/samples/s3/exp_single/s3_allow_all_except_delete/initial.json,SAT,1648.11,6360019856060351790691584192995197772139764003670633481659107217047090076838076626409896841756752410843389248946033870485181864731084020493887747856843160096981181301574511495979496805981019,127.257,1,91,69890328088575294403204221901046129364173230809567400897352826560957033811407435455053811447876400119158123614791580994342657854187736488943821405020254506560232761555763862593181283582209
/samples/s3/exp_single/s3_public_access/policy.json,SAT,476.95,1612170334362925171097650527553323542312830420514235828245276303383597980838648047709863135825547567494011317905038248674529596902394010807885156037435803468397612956530336743327677336803540303425671462704840292440189635365708706900959096148130496558297818266773340270868999945185785505830426163448327541567448819320742878664854265958770045472947190511727843595424603571473097898495613641601830524151059768387190741757195191213248630163657423473986077196151645421745513855045095592696648468710635185452360258588092558250329217291026230552142253069788846290807597389105497267821016253954,8.4034,6694163509087226251625262974214282337525718158874009761025262744359190325024760040429359385973011366392902184752623174722147189111586499845384388821163499967844550354335638144966855063503625060120058996591321451401226790186643035649168441601,1,57811924399839787871347343458766373941742053008830276169978650432684193664095417464554637334216586512583767999858514780940113122394681259689972951155525368315707649
/samples/s3/exp_single/s3_object_query_permissions/policy1.json,SAT,2073.26,46978503631884405724887388640321818800976165845338959362577374257109944494038100309455753236203730620989388061501702000586957903394603156910341541483608534584893105511571568999883118208408384250466823979832702244142159393391222191404312029622478224151303225354978616060577224876388178978190378893147848044345980485488988434915255180481501218033906616460792270913218223337506150669738798356238908802685123741305824263752475682593470520485699911653191551134709081129617453444294453619704882819863245259213242779392855532686822727770584739123176272018936987969284399833857823573240745566316739467663449231438232389349344435479996288902731135518318972035861918829490771105827471096993160667111522402081998051729335576718017986006764918687361936099681239041,207.69,1,91,330047742842250886728846424023851210387472301353610908831264684114116527328444286877720253256633000861300892163524907778071807513737022987490372691491882719997190504855118092435555373043722209711139968736362753
/samples/s3/exp_single/s3_object_query_permissions/fix.json,SAT,351.737,4,4.65176,1,2,1
/samples/s3/exp_single/s3_policy_for_lambda_function/policy2.json,SAT,530.863,900530020341423242086001912022360221419527901217254772285554329157411832043483501032060994266338641485983931934765426680510629504361594592838735547480289969818451495089315610409054096754668197839620,6.25585,1,4,300176673447141080695333970674120073806509300405751590761851443052470610681161167010686998088779547161994643978255142226836876501453864864279578515826763323272817165029771870136351365584889399279874
/samples/s3/exp_single/s3_policy_for_lambda_function/policy1.json,SAT,2736.27,88263006015892206272571487893285859973321383404746186008547992566484892096840783970583499986561243506091718038303798744631271443615350431792340000448126581491808691237378907,111.205,1,91,969923143031782486511774592233910549157377839612595450643384533697636176888360263413005494357815862704304593827514271919024960918850004744970769235693698697712183420190977
/samples/s3/exp_single/s3_restrict_access_to_certain_roles/policy.json,SAT,436.874,1628165083151450058417045553406770629667779584939682171304731447564055059670547616360933591489728617175907647730184670844206557371157509246435263451351848984827182413203074942970751182331141046,30.4648,1,91,17891923990675275367220280806667809117228347087249254629722323599605000655720303476493775730656358430504479645386644734551720410672060541169618279685185153679419586958275548823854408597045506
/samples/s3/exp_single/s3_remove_permissions_individual_files/policy2.json,SAT,1488.04,8370866962535629295000422630723339735576724282666201900795925960326060538110737490152548201896160655022947564139123444465517122124389325279014564276898612424992405103940074779148069504037614919960809012165586940436308422706296660216944758800060875033092682799420144725098695526818254412168153838034315477349548548936927530294508924707556670966820052857558025998836707098925773663046229774234645722348933743206570298872208823558666580775391569181602430207955573528985159122974872143482037587018931980607391969852609113400520533047544690008263631091424790818520131256215812448564409323669218357998348346398442902879406340,181.395,6694163509087226251625262974214282337525718158874009761025262744359190325024760040429359385973011366392902184752623174722147189111586499845384388821163499967844550354335638144966855063503625060120058996591321451401226790186643035649168441601,1,969923143031782486511774592233910549157377839612595450643384533697636176888360263413005494357815862704304593827514271919024960918850004744970769235693698697712183420190977
