Policy 1,Policy 2,P1 => P2,Solve Time (ms),lg(tuple),Count Time (ms),lg(principal),lg(action),lg(resource),P2 => P1,Solve Time (ms),lg(tuple),Count Time (ms),lg(principal),lg(action),lg(resource)
/samples/ec2/exp_single/ec2_prevent_running_classic/policy.json,/samples/mutations/ec2/exp_single/ec2_prevent_running_classic/policy/3_2.json,SAT,11020.8,64207472639830463105985274813208892866806455723861808033911162917692456482700990522671918446917531981280813271961017994031873489515778573088119415955810375730219521842917513611832488802320260120990312887403523025881848379494190821509091580272255957991155359411777202862839952720582613354343123639385919840907736140326692239446675265831174695168,366.872,1,4,9591560252848587427279621438095045291204458969771840560549734193093328682006910795723061399062740684649,SAT,14679.7,58968162887836583628774290327941701420576894069006881693378223441337877537378613902112226667925623249629357385181002680501828590912433329136151048208565593835086052758,75.2602,1,6,1288088266496587024705006793914025325317603942913206069858444252378638325077623332417076630
/samples/ec2/exp_single/ec2_prevent_running_classic/policy.json,/samples/mutations/ec2/exp_single/ec2_prevent_running_classic/policy/1_3.json,SAT,10688.1,79901967274088618835884399877532848851858087758982160979762689366393598675948263818744011334277296518448276923378676492220732603415880397532209484654868309416136276258815428165811071833451366023961408182161457257773364461550498352060057427095358343284008837588597329923888264870181616964045799481242353579597841213682908194243391189645762272920960479314186231074639602253824,30.2763,1,4,9591560252848587427279621438095045291204458969771840560549734193093328682006910795723061399062740684649,SAT,9571.58,58968162887836583628774290327941701420576894069006881693378223441337877537377325813845730080900918242835443359855685076558915384842574884883772410178635875682021801984,9.90955,1,1,295147905179352825856
/samples/ec2/exp_single/ec2_prevent_running_classic/policy.json,/samples/mutations/ec2/exp_single/ec2_prevent_running_classic/policy/0_2.json,SAT,11095.4,79901967274088618835884399877532848851858087758982160979762689366393598675948263818744011334277296518448276923378676492220732603415880397532209484654868309416136276258815428165811071833451366023961408182161457257773364461550498352060057427095358343284008837588597329923888264870181616964045799481242353579597841213682908194243391189645762272920960479314186231074639602253824,31.5929,1,4,9591560252848587427279621438095045291204458969771840560549734193093328682006910795723061399062740684649,SAT,9670.95,58968162887836583628774290327941701420576894069006881693378223441337877537377325813845730080900918242835443359855685076558915384842574884883772410178635875682021801984,9.86962,1,1,295147905179352825856
/samples/ec2/exp_single/ec2_prevent_running_classic/policy.json,/samples/mutations/ec2/exp_single/ec2_prevent_running_classic/policy/2_2.json,SAT,10523.5,79901967274088618835884399877532848851858087758982160979762689366393598675948263818744011334277296518448276923378676492220732603415880397532209484654868309416136276258815428165811071833451366023961408182161457257773364461550498352060057427095358343284008837588597329923888264870181616964045799481242353579597841213682908194243391189645762272920960479314186231074639602253824,30.0999,1,4,9591560252848587427279621438095045291204458969771840560549734193093328682006910795723061399062740684649,SAT,10668.3,1975768336663911645870716610897315051505327430658171275837301368893761995849855438660787504445285809277981644953157032350437270750118585608979897332126037121577199842353623225902378876941431803241047464123278511531229991923577743962813676624693331879445013725184,202.559,1,3,590295810363000619008
/samples/ec2/exp_single/ec2_prevent_running_classic/policy.json,/samples/mutations/ec2/exp_single/ec2_prevent_running_classic/policy/4_1.json,UNSAT,11479.2,,,,,,SAT,12258,1975768336663911645870716610897315051505327430658171275837301368893761995849855438660787504445226841115093808369528258060109329048698008714910890450432658898135861964816245900088533146860530884998212020763422826454671076538735169077929904214514696003762991923200,190.575,1,2,295147905183647793152
/samples/ec2/exp_single/ec2_prevent_running_classic/policy.json,/samples/mutations/ec2/exp_single/ec2_prevent_running_classic/policy/5_2.json,SAT,11511.2,64207472639830463105985274813208892866806455723861808033911162917692456482700990522671918446917531981280813271961017994031873489515778573088119415955810375730219521842917513611832488802320260120990312887403523025881848379494190821509091580272255957991155359411777202862839952720582613354343123639385919840907736140326692239446675265831174695168,382.645,1,4,9591560252848587427279621438095045291204458969771840560549734193093328682006910795723061399062740684649,SAT,14743.3,58968162887836583628774290327941701420576894069006881693378223441337877537378613902112226667925623249629357385181002680501828590912433329136151048208565593835086052758,76.1447,1,6,1288088266496587024705006793914025325317603942913206069858444252378638325077623332417076630
/samples/ec2/exp_single/ec2_prevent_running_classic/policy.json,/samples/mutations/ec2/exp_single/ec2_prevent_running_classic/policy/4_0.json,UNSAT,10925.6,,,,,,SAT,12341.7,1975768336663911645870716610897315051505327430658171275837301368893761995849855438660787504445226841115093808369528258060109329048698008714910890450432658898135861964816245900088533146860530884998212020763422826454671076538735169077929904214514696003762991923200,188.844,1,2,295147905183647793152
/samples/ec2/exp_single/ec2_prevent_running_classic/policy.json,/samples/mutations/ec2/exp_single/ec2_prevent_running_classic/policy/4_2.json,SAT,10999,79901967274088618835884399877532848851858087758982160979762689366393598675948263818744011334277296518448276923378676492220732603415880397532209484654868309416136276258815428165811071833451366023961408182161457257773364461550498352060057427095358343284008837588597329923888264870181616964045799481242353579597841213682908194243391189645762272920960479314186231074639602253824,31.8529,1,4,9591560252848587427279621438095045291204458969771840560549734193093328682006910795723061399062740684649,SAT,10730.6,1975768336663911645870716610897315051505327430658171275837301368893761995849855438660787504445285809277981644953157032350437270750118585608979897332126037121577199842353623225902378876941431803241047464123278511531229991923577743962813676624693331879445013725184,201.765,1,3,590295810363000619008
/samples/ec2/exp_single/ec2_prevent_running_classic/policy.json,/samples/mutations/ec2/exp_single/ec2_prevent_running_classic/policy/2_1.json,UNSAT,11363.7,,,,,,SAT,12267.2,1975768336663911645870716610897315051505327430658171275837301368893761995849855438660787504445226841115093808369528258060109329048698008714910890450432658898135861964816245900088533146860530884998212020763422826454671076538735169077929904214514696003762991923200,189.312,1,2,295147905183647793152
/samples/ec2/exp_single/ec2_prevent_running_classic/policy.json,/samples/mutations/ec2/exp_single/ec2_prevent_running_classic/policy/2_0.json,UNSAT,11439.1,,,,,,SAT,12398.9,1975768336663911645870716610897315051505327430658171275837301368893761995849855438660787504445226841115093808369528258060109329048698008714910890450432658898135861964816245900088533146860530884998212020763422826454671076538735169077929904214514696003762991923200,188.286,1,2,295147905183647793152
/samples/ec2/exp_single/ec2_prevent_running_classic/policy.json,/samples/mutations/ec2/exp_single/ec2_prevent_running_classic/policy/5_3.json,SAT,11545.2,64207472639830463105985274813208892866806455723861808033911162917692456482700990522671918446917531981280813271961017994031873489515778573088119415955810375730219521842917513611832488802320260120990312887403523025881848379494190821509091580272255957991155359411777202862839952720582613354343123639385919840907736140326692239446675265831174695168,383.97,1,4,9591560252848587427279621438095045291204458969771840560549734193093328682006910795723061399062740684649,SAT,14787.7,58968162887836583628774290327941701420576894069006881693378223441337877537378613902112226667925623249629357385181002680501828590912433329136151048208565593835086052758,75.0806,1,6,1288088266496587024705006793914025325317603942913206069858444252378638325077623332417076630
/samples/ec2/exp_single/ec2_prevent_running_classic/policy.json,/samples/mutations/ec2/exp_single/ec2_prevent_running_classic/policy/3_0.json,UNSAT,13380.1,,,,,,SAT,15967.3,1288088266496587024705006793914025325317603942913206069858444252378638029929718153064250774,61.515,1,5,1288088266496587024705006793914025325317603942913206069858444252378638029929718153064250774
/samples/ec2/exp_single/ec2_prevent_running_classic/policy.json,/samples/mutations/ec2/exp_single/ec2_prevent_running_classic/policy/7_3.json,SAT,10485.9,142576269300693600582536612678134103902913390851517497830599766184352348975271168328309775353667856243082572174174825228459022022542982437445395666241319193382874833573758279690089818507706368,11.2109,1,1,295147905179352825856,SAT,14308.9,10730348744374670371258357678148691216486556852442968011058009527786559415309616353818214922081879276518283104814120016637260417624488313844787146200414925394075054146568296106958102209625461320959322889897193730814731302693898346111031321159347895981294851960483748504863063349902682136688488090113119590800686509354108015524427775123497198983687475620745314304,261.736,1,8,1288088266496587024705006793914025325317603942913206069858444252378638620225528516064869782
/samples/ec2/exp_single/ec2_prevent_running_classic/policy.json,/samples/mutations/ec2/exp_single/ec2_prevent_running_classic/policy/2_3.json,SAT,11096.2,79901967274088618835884399877532848851858087758982160979762689366393598675948263818744011334277296518448276923378676492220732603415880397532209484654868309416136276258815428165811071833451366023961408182161457257773364461550498352060057427095358343284008837588597329923888264870181616964045799481242353579597841213682908194243391189645762272920960479314186231074639602253824,31.1448,1,4,9591560252848587427279621438095045291204458969771840560549734193093328682006910795723061399062740684649,SAT,10678.5,1975768336663911645870716610897315051505327430658171275837301368893761995849855438660787504445285809277981644953157032350437270750118585608979897332126037121577199842353623225902378876941431803241047464123278511531229991923577743962813676624693331879445013725184,201.453,1,3,590295810363000619008
/samples/ec2/exp_single/ec2_prevent_running_classic/policy.json,/samples/mutations/ec2/exp_single/ec2_prevent_running_classic/policy/1_1.json,UNSAT,11720.3,,,,,,UNSAT,11653.4,,,,,
