Policy 1,Policy 2,P1 => P2,Solve Time (ms),lg(tuple),Count Time (ms),lg(principal),lg(action),lg(resource),P2 => P1,Solve Time (ms),lg(tuple),Count Time (ms),lg(principal),lg(action),lg(resource)
/samples/s3/exp_single/s3_allow_all_except_delete/initial.json,/samples/mutations/s3/exp_single/s3_allow_all_except_delete/initial/3_2.json,SAT,1369.11,2096709842657258832096126657031383880925196924287022026920584796828711014342223063651614343436292003574743708443747429830279735625632094668314642150607635196806982846672915877795438507466240,3.99668,1,30,69890328088575294403204221901046129364173230809567400897352826560957033811407435455053811447876400119158123614791580994342657854187736488943821405020254506560232761555763862593181283582208,UNSAT,134.752,,,,,
/samples/s3/exp_single/s3_allow_all_except_delete/initial.json,/samples/mutations/s3/exp_single/s3_allow_all_except_delete/initial/1_3.json,UNSAT,1355.05,,,,,,UNSAT,1279.85,,,,,
/samples/s3/exp_single/s3_allow_all_except_delete/initial.json,/samples/mutations/s3/exp_single/s3_allow_all_except_delete/initial/0_2.json,SAT,1369.25,2096709842657258832096126657031383880925196924287022026920584796828711014342223063651614343436292003574743708443747429830279735625632094668314642150607635196806982846672915877795438507466240,3.98798,1,30,69890328088575294403204221901046129364173230809567400897352826560957033811407435455053811447876400119158123614791580994342657854187736488943821405020254506560232761555763862593181283582208,UNSAT,167.101,,,,,
/samples/s3/exp_single/s3_allow_all_except_delete/initial.json,/samples/mutations/s3/exp_single/s3_allow_all_except_delete/initial/2_2.json,SAT,1369.01,2096709842657258832096126657031383880925196924287022026920584796828711014342223063651614343436292003574743708443747429830279735625632094668314642150607635196806982846672915877795438507466240,3.80921,1,30,69890328088575294403204221901046129364173230809567400897352826560957033811407435455053811447876400119158123614791580994342657854187736488943821405020254506560232761555763862593181283582208,UNSAT,169.469,,,,,
/samples/s3/exp_single/s3_allow_all_except_delete/initial.json,/samples/mutations/s3/exp_single/s3_allow_all_except_delete/initial/2_1.json,SAT,1321.64,2026819514568683537692922435130337751561023693477454626023231970267753980530815628196560531988415603455585584828955848835937077771444358179370820745587380690246750085117152015202257223884032,3.99581,1,29,69890328088575294403204221901046129364173230809567400897352826560957033811407435455053811447876400119158123614791580994342657854187736488943821405020254506560232761555763862593181283582208,SAT,1411.19,4442553804447357074981032305560375657649769845705810957386718235499918394527755712399888793513815523161268811764060425356275841324879900971094977432538648817208083609209511325840126082523755285200452029731,22.0807,1,55,4442553804447357074981032305560375657649769845705810957386718235499487869463480128619384535491932272472099092733603939009611612324410364245628547674456916309444518302975941392465845271851026287197058879057
/samples/s3/exp_single/s3_allow_all_except_delete/initial.json,/samples/mutations/s3/exp_single/s3_allow_all_except_delete/initial/2_0.json,UNSAT,1318.58,,,,,,SAT,1389.63,133276614133420712249430969166811269729493095371174328721601547064988941334547159696386578644976800681054669972312683033754990659737006294623520727814524814360971202151613941107718166262258078595945697878033,25.5692,1,196,4442553804447357074981032305560375657649769845705810957386718235499487869463480128619384535491932272472099092733603939009611612324410364245628547674456916309444518302975941392465845271851026287197058879057
/samples/s3/exp_single/s3_allow_all_except_delete/initial.json,/samples/mutations/s3/exp_single/s3_allow_all_except_delete/initial/3_0.json,UNSAT,1307.36,,,,,,SAT,1369.03,133276614133420712249430969166811269729493095371174328721601547064988941334547159696386578644976800681054669972312683033754990659737006294623520727814524814360971202151613941107718166262258078595945697878033,25.3822,1,196,4442553804447357074981032305560375657649769845705810957386718235499487869463480128619384535491932272472099092733603939009611612324410364245628547674456916309444518302975941392465845271851026287197058879057
/samples/s3/exp_single/s3_allow_all_except_delete/initial.json,/samples/mutations/s3/exp_single/s3_allow_all_except_delete/initial/2_3.json,UNSAT,1260.73,,,,,,SAT,1373.9,133276614133420712249430969166811269729493095371174328721601547064988941334547159696386578644976800681054669972312683033754990659737006294623520727814524814360971202151613941107718166262258078595945697878036,21.0792,1,196,4442553804447357074981032305560375657649769845705810957386718235499487869463480128619384535491932272472099092733603939009611612324410364245628547674456916309444518302975941392465845271851026287197058879057
/samples/s3/exp_single/s3_allow_all_except_delete/initial.json,/samples/mutations/s3/exp_single/s3_allow_all_except_delete/initial/1_1.json,SAT,1327.35,2026819514568683537692922435130337751561023693477454626023231970267753980530815628196560531988415603455585584828955848835937077771444358179370820745587380690246750085117152015202257223884032,4.00734,1,29,69890328088575294403204221901046129364173230809567400897352826560957033811407435455053811447876400119158123614791580994342657854187736488943821405020254506560232761555763862593181283582208,UNSAT,438.203,,,,,
/samples/s3/exp_single/s3_allow_all_except_delete/initial.json,/samples/mutations/s3/exp_single/s3_allow_all_except_delete/initial/3_3.json,UNSAT,1346.87,,,,,,SAT,1300.51,133276614133420712249430969166811269729493095371174328721601547064988941334547159696386578644976800681054669972312683033754990659737006294623520727814524814360971202151613941107718166262258078595945697878036,21.0886,1,196,4442553804447357074981032305560375657649769845705810957386718235499487869463480128619384535491932272472099092733603939009611612324410364245628547674456916309444518302975941392465845271851026287197058879057
