Policy 1,Policy 2,P1 => P2,Solve Time (ms),lg(tuple),Count Time (ms),lg(principal),lg(action),lg(resource),P2 => P1,Solve Time (ms),lg(tuple),Count Time (ms),lg(principal),lg(action),lg(resource)
/samples/iam/exp_single/iam_role_policy_modify_iam_but_not_own_policies/policy.json,/samples/mutations/iam/exp_single/iam_role_policy_modify_iam_but_not_own_policies/policy/3_.json,UNSAT,1253.66,,,,,,SAT,3769.98,296648091129958618269527749538850483150645832039458610856429308534643857334880847114590917375681121066297387310048265610649337152200320000000000000,314.887,1,154,8881889154352973278231364771755114577909039464713856137014613577918577891380155951597840443715446473391235371210497848325946993207492000000000000
/samples/iam/exp_single/iam_role_policy_modify_iam_but_not_own_policies/policy.json,/samples/mutations/iam/exp_single/iam_role_policy_modify_iam_but_not_own_policies/policy/0_.json,UNSAT,215.352,,,,,,UNSAT,144.132,,,,,
/samples/iam/exp_single/iam_role_policy_modify_iam_but_not_own_policies/policy.json,/samples/mutations/iam/exp_single/iam_role_policy_modify_iam_but_not_own_policies/policy/2_.json,UNSAT,1249.62,,,,,,SAT,3745.67,296648091129958618269527749538850483150645832039458610856429308534643857334880847114590917375681121066297387310048265610649337152200320000000000000,314.663,1,154,8881889154352973278231364771755114577909039464713856137014613577918577891380155951597840443715446473391235371210497848325946993207492000000000000
/samples/iam/exp_single/iam_role_policy_modify_iam_but_not_own_policies/policy.json,/samples/mutations/iam/exp_single/iam_role_policy_modify_iam_but_not_own_policies/policy/1_.json,UNSAT,215.897,,,,,,UNSAT,170.655,,,,,
/samples/iam/exp_single/iam_specify_all_users_in_account_bucket_policy/policy2.json,/samples/mutations/iam/exp_single/iam_specify_all_users_in_account_bucket_policy/policy2/3_.json,UNSAT,2943.73,,,,,,SAT,3671.33,4632457215988955847883871457589059767049841285689702418730424766154508339905974366675821533467930007630210121442209411234834039428162696553424823508612943334936235903049197890806602574285545229629912922917468922495967603264909581987896072685851968573320440738470223054358730469017100365481962207790467790837300799073157862711741075912238708541288757567208164397340761378004506165713273761700731288336694932348981279758255825677612727486789915243764907265677290222898687337817875709389694885916062608788961175729743438607023912161295774681908851934499946322556565661221500752490787828308766580605191165107353269878033556227250378600529920000,1492.49,6694163509087226251625262974214282337525718158874009761025262744359190325024760040429359385973011366392902184752623174722147189111586499845384388821163499967844550354335638144966855063503625060120058996591321451401226790186643035649168441601,30,3445859217634188405951699224636934634550932229091541538833299305002939323430980292830147584332024247204289913169057058151967115544955805521605786750049911040
/samples/iam/exp_single/iam_specify_all_users_in_account_bucket_policy/policy2.json,/samples/mutations/iam/exp_single/iam_specify_all_users_in_account_bucket_policy/policy2/0_.json,UNSAT,3787.81,,,,,,UNSAT,3675.62,,,,,
/samples/iam/exp_single/iam_specify_all_users_in_account_bucket_policy/policy2.json,/samples/mutations/iam/exp_single/iam_specify_all_users_in_account_bucket_policy/policy2/2_.json,UNSAT,2954.51,,,,,,SAT,3653.38,4632457215988955847883871457589059767049841285689702418730424766154508339905974366675821533467930007630210121442209411234834039428162696553424823508612943334936235903049197890806602574285545229629912922917468922495967603264909581987896072685851968573320440738470223054358730469017100365481962207790467790837300799073157862711741075912238708541288757567208164397340761378004506165713273761700731288336694932348981279758255825677612727486789915243764907265677290222898687337817875709389694885916062608788961175729743438607023912161295774681908851934499946322556565661221500752490787828308766580605191165107353269878033556227250378600529920000,1493.41,6694163509087226251625262974214282337525718158874009761025262744359190325024760040429359385973011366392902184752623174722147189111586499845384388821163499967844550354335638144966855063503625060120058996591321451401226790186643035649168441601,30,3445859217634188405951699224636934634550932229091541538833299305002939323430980292830147584332024247204289913169057058151967115544955805521605786750049911040
/samples/iam/exp_single/iam_specify_all_users_in_account_bucket_policy/policy2.json,/samples/mutations/iam/exp_single/iam_specify_all_users_in_account_bucket_policy/policy2/1_.json,UNSAT,3949.7,,,,,,UNSAT,4003.35,,,,,
/samples/iam/exp_single/iam_specify_all_users_in_account_bucket_policy/policy1.json,/samples/mutations/iam/exp_single/iam_specify_all_users_in_account_bucket_policy/policy1/3_.json,UNSAT,1276.26,,,,,,SAT,1800.37,49,43.8662,1,49,1
/samples/iam/exp_single/iam_specify_all_users_in_account_bucket_policy/policy1.json,/samples/mutations/iam/exp_single/iam_specify_all_users_in_account_bucket_policy/policy1/0_.json,UNSAT,1238.24,,,,,,UNSAT,1265.81,,,,,
