Resource Provider,Resource Type,Operation Name,Operation Display Name,Operation Description,Data Action
84codes.CloudAMQP,,84codes.CloudAMQP/updateCommunicationPreference/action,Update Communication Preferences,Updates Communication Preferences,FALSE
84codes.CloudAMQP,,84codes.CloudAMQP/listCommunicationPreference/action,List Communication Preferences,Read any Communication Preferences,FALSE
84codes.CloudAMQP,operations,84codes.CloudAMQP/operations/read,Read Operations,Read any Operation,FALSE
84codes.CloudAMQP,servers,84codes.CloudAMQP/servers/read,Read server,Read any server,FALSE
84codes.CloudAMQP,servers,84codes.CloudAMQP/servers/write,Create or Update server,Create or Update any server,FALSE
84codes.CloudAMQP,servers,84codes.CloudAMQP/servers/delete,Delete server,Deletes any server,FALSE
84codes.CloudAMQP,servers,84codes.CloudAMQP/servers/listSecrets/action,List Secrets,Read any server Secrets,FALSE
84codes.CloudAMQP,servers,84codes.CloudAMQP/servers/regenerateKeys/action,Regenerate Keys,Regenerate any server Keys,FALSE
84codes.CloudAMQP,servers,84codes.CloudAMQP/servers/listSingleSignOnToken/action,List Single Sign On Tokens,Read any server Single Sign On Tokens,FALSE
LiveArena.Broadcast,,LiveArena.Broadcast/updateCommunicationPreference/action,Update Communication Preference,Updates the communication preferences for the owner of LiveArena.Broadcast,FALSE
LiveArena.Broadcast,,LiveArena.Broadcast/listCommunicationPreference/action,List Communication Preference,Gets the communication preferences for the owner of LiveArena.Broadcast,FALSE
LiveArena.Broadcast,Operations,LiveArena.Broadcast/Operations/read,Operations,List the operations for LiveArena.Broadcast,FALSE
LiveArena.Broadcast,services,LiveArena.Broadcast/services/Read,Read,Gets the resource for LiveArena.Broadcast/services,FALSE
LiveArena.Broadcast,services,LiveArena.Broadcast/services/Write,Write,Updates the resource for LiveArena.Broadcast/services,FALSE
LiveArena.Broadcast,services,LiveArena.Broadcast/services/Delete,Delete,Deletes the resource for LiveArena.Broadcast/services,FALSE
LiveArena.Broadcast,services,LiveArena.Broadcast/services/regenerateKey/action,Regenerate Key,Regenerate key(s) for LiveArena.Broadcast/services,FALSE
LiveArena.Broadcast,services,LiveArena.Broadcast/services/listSecrets/action,List Secrets,List the secrets for LiveArena.Broadcast/services,FALSE
LiveArena.Broadcast,services,LiveArena.Broadcast/services/listSingleSignOnToken/action,Read Single Sign On Authorization Token,Gets the single sign on authorization token for LiveArena.Broadcast/services,FALSE
Mailjet.Email,,Mailjet.Email/updateCommunicationPreference/action,Update Communication Preferences,Updates Communication Preferences,FALSE
Mailjet.Email,,Mailjet.Email/listCommunicationPreference/action,List Communication Preferences,Read Any Communication Preferences,FALSE
Mailjet.Email,operations,Mailjet.Email/operations/read,Read Operations,Read any Operation,FALSE
Mailjet.Email,services,Mailjet.Email/services/listSecrets/action,List Secrets,Read Any services Secrets,FALSE
